TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Minari - Em busca da felicidade,Minari,Diamond/Galeria,4/22/2021,EUA,Drama,12,47,"128.324,60",5.939
Raya e o último dragão,Raya and the last dragon,Disney,3/4/2021,EUA,Animação,10,379,"1.156.825,07",88.324
Judas e o Messias Negro,Judas and the black messiah,Warner,2/25/2021,EUA,Biografia,16,86,"215.130,08",10.107
Billie Eilish: The World's a Little Blurry,Billie Eilish: The World's a Little Blurry,Cinemark,2/25/2021,EUA,Documentário,14,30,"11.190,22",506
Tom & Jerry - O filme,Tom & Jerry,Warner,2/18/2021,EUA,Animação,Livre,1.161,"7.214.832,37",506.766
"Mensageiro do último dia, O",Empty man,Disney,1/14/2021,EUA,Terror,16,324,"1.621.448,34",103.446
Legado explosivo,Honest thief,Imagem/California,1/7/2021,EUA,Ação,14,670,"4.432.932,24",266.698
Skin - À flor da pele,Skin,Bretz/MyMamma,1/7/2021,EUA,Drama,16,7,"16.568,95",768
Monster Hunter,Monster Hunter,Sony,2/25/2021,EUA / Alemanha / Japão / China,Ação,14,919,"2.901.281,01",191.106
Abe,Abe,DT/Paris,8/5/2021,EUA / Brasil,Comédia - Dramática,12,33,"87.309,73",3.589
Annette,Annette,Distribuição Própria,12/23/2021,EUA / França,Romance/ Musical,16,6,"10.915,30",583
No ritmo do coração,Coda,Diamond/Galeria,9/23/2021,EUA / França,Comédia - Dramática,14,494,"526.539,96",27.753
"Império de Pierre Cardin, O",House of Cardin,Imovision,1/14/2021,EUA / França,Documentário,12,6,"10.295,76",507
Cyrano,Cyrano,Universal,12/16/2021,EUA / Reino Unido,Musical,12,1,"280,80",18
007 - Sem tempo para morrer,No time to die,Universal,9/30/2021,EUA / Reino Unido,Ação,14,2.268,"22.938.621,55",1.097.460
Infiltrado,Wrath of man,Imagem,8/26/2021,EUA / Reino Unido,Ação,16,761,"4.630.547,02",249.637
Alice e Peter - Onde nascem os sonhos,Come away,Imagem,6/3/2021,EUA / Reino Unido,Drama,12,297,"467.649,25",27.550
Nós duas,Deux,Imovision,12/16/2021,França,Drama,,13,"20.585,03",1.043
Que mal eu fiz a Deus? 2,Qu'est-ce qu'on a encore fait au bon Dieu?,A2 Filmes,12/2/2021,França,Comédia,12,7,"9.246,55",512
Zaz - An exclusive concert at the cinema,Zaz - An Exclusive Concert At The Cinema,Independente,11/25/2021,França,Musical,,5,"362,60",20
Charuto de mel,Honey Cigar,Imovision,11/11/2021,França,Drama,16,10,"26.310,70",1.488
Sob as escadas de Paris,Sous les étoiles de Paris,A2 Filmes,10/14/2021,França,Drama,12,8,"33.514,74",1.664
"Dona do barato, A",La Daronne,Imovision,9/23/2021,França,Comédia,16,19,"143.452,18",6.923
"Bom doutor, O",Docteur?,Pandora Filmes,9/9/2021,França,Comédia,12,24,"36.726,67",1.768
Edifício Gagarine,Gagarine,Vitrine Filmes,8/26/2021,França,Drama,12,13,"16.115,18",845
Sibyl,Sibyl,Imovision,7/15/2021,França,Drama,16,12,"41.217,77",2.066
"Melhores anos de uma vida, Os",Les plus belles années d'une vie,Pandora Filmes,6/24/2021,França,Drama,14,27,"109.498,94",5.419
"Boa esposa, A",La bonne épouse,California,6/17/2021,França,Comédia,14,22,"47.831,76",2.398
Verão de 85,Été 85,California,6/3/2021,França,Drama,14,15,"25.663,48",1.352
Minhas férias com Patrick,Antoinette Dans Les Cévennes,California,5/6/2021,França,Comédia,14,5,"2.815,22",133
Mais que especiais,Hors normes,California,2/25/2021,França,Drama,,13,"10.776,26",539
"Mundo de Gloria, O",Gloria mundi,Imovision,2/25/2021,França,Drama,16,5,"6.300,25",352
Aznavour por Charles,Le regard de Charles,Imovision,2/11/2021,França,Documentário,10,6,"12.237,48",630
Yalda - Uma noite de perdão,Yalda - A night for forgiveness,Imovision,12/9/2021,França / Alemanha / Suíça,Drama,12,8,"16.017,62",827
DNA,ADN,Vitrine Filmes,9/30/2021,França / Argélia,Drama,14,11,"22.447,43",1.402
"Tradutores, Os",Les traducteurs,Imovision,10/28/2021,França / Bélgica,Suspense,12,21,"117.091,87",4.791
Slalom - Até o limite,Slalom,Vitrine Filmes,7/22/2021,França / Bélgica,Drama,16,6,"7.398,34",394
Alice e o prefeito,Alice et le maire,Imovision,5/27/2021,França / Bélgica,Drama,12,7,"20.867,24",1.088
Notre Dame,Notre Dame,California,2/11/2021,França / Bélgica,Comédia,,8,"26.064,74",1.380
Jogo do poder,Adults in the room,California,8/12/2021,França / Grécia,Drama,12,7,"34.042,48",1.730
"Divã na Tunísia, Um",Arab blues,Imovision,3/11/2021,França / Tunísia,Comédia,12,0,"25.611,25",1.360
"Chorona, A",La llorona,Elite Filmes,9/23/2021,Guatemala / França,Terror,14,112,"76.299,09",4.574
Amores expressos,Chung Hing sam lam,Distribuição Própria,12/9/2021,Hong Kong,Drama,14,2,"1.163,40",75
Suk suk - Um amor em segredo,Suk suk,Vitrine Filmes,9/9/2021,Hong Kong,Drama,14,4,"14.946,79",967
"Última noite, A",Silent night,Paris,12/23/2021,Inglaterra,Suspense,16,21,"12.316,55",631
Fale com as abelhas,Tell it to the bees,Arteplex Filmes,1/21/2021,Inglaterra / Suécia,Drama,16,21,"68.036,80",3.432
Filho-mãe,Pesar - madar,Imovision,9/16/2021,Irã,Drama,14,6,"13.586,03",725
PJ Harvey: Um cão chamado dinheiro,A dog called Money,Zeta Filmes,2/25/2021,Irlanda / Reino Unido,Documentário,Livre,4,"921,97",55
Lá vamos nós,Hine Anachnu,Imovision,11/4/2021,Israel / Itália,Drama,12,6,"11.380,04",530
E agora mamãe saiu de férias 2... E levou a família,When mon is away…with the family,A2 Filmes,12/9/2021,Itália,Comédia,12,2,"1.035,43",59
"Mão de deus, A",The hand of god,O2 Play,12/2/2021,Itália,Drama,16,13,"21.468,87",1.077
"Ninho, O",Il nido,A2 Filmes,11/11/2021,Itália,Suspense,16,2,"2.169,85",105
Cidadãos do mundo,Lontano Lontano,Imovision,9/9/2021,Itália,Comédia,12,20,"64.157,71",3.034
"Labirinto, O",L'uomo del labirinto,Pandora Filmes,8/12/2021,Itália,Terror,16,25,"38.910,59",1.867
Irmãos à italiana,Padrenostro,Pandora Filmes,7/22/2021,Itália,Drama,14,16,"28.358,94",1.409
Pinóquio,Pinocchio,Imagem,1/21/2021,Itália,Fantasia,10,614,"4.257.764,00",271.715
"Vez em Veneza, Uma",When in Venice,Zapata Filmes,11/11/2021,Itália / Brasil,Romance,12,1,"6.631,36",312
Seus olhos dizem,Your eyes tell,Sato Company,10/14/2021,Japão,Drama,16,14,"13.931,13",637
Demon Slayer - Mugen Train: O filme,Demon Slayer - The movie: Mugen Train,Cinecolor,5/13/2021,Japão,Animação,14,386,"1.357.390,57",80.504
Mães de verdade,True mothers,California,5/13/2021,Japão,Drama,14,3,"3.484,40",183
Fate Stay Night Heavens Feel: III - Spring Song,Fate Stay Night Heavens Feel: III - Spring Song,Cinecolor,5/6/2021,Japão,Animação,16,27,"5.933,24",324
Perfil de uma mulher,A girl missing,Zeta Filmes,1/28/2021,Japão,Drama,14,5,"8.634,67",515
"Tempo com você, O",Weathering with you,Cinecolor,1/14/2021,Japão,Animação,12,2,"81.171,21",4.737
Los lobos,Los lobos,Vitrine Filmes,9/16/2021,México,Drama,14,5,"9.960,55",622
"Noite do fogo, A",Noche de fuego,Vitrine Filmes,11/18/2021,México / Brasil,Drama,14,10,"2.836,76",396
Sanctorum,Sanctorum,Zeta Filmes,10/21/2021,México / República Dominicana / Catar,Drama,14,4,"2.118,82",181
Ainbo - A guerreira da Amazônia,Ainbo - Spirit of the Amazon,Paris,9/30/2021,Peru,Animação,Livre,504,"2.339.124,47",148.816
Nunca mais nevará,Never gonna snow again,Imovision,8/19/2021,Polônia,Comédia,16,5,"18.244,58",924
Amor fati,Amor fati,Bretz Filmes,12/16/2021,Portugal,Documentário,12,1,"208,01",13
No táxi do Jack,No táxi do Jack,Bretz Filmes,12/16/2021,Portugal,Ação,10,1,"169,93",9
"Prazer, camaradas!","Prazer, camaradas!",Bretz Filmes,7/15/2021,Portugal,Documentário,12,2,"1.672,24",116
Três realizadoras portuguesas,Três realizadoras portuguesas,Bretz Filmes,5/20/2021,Portugal,Documentário,12,2,"817,55",45
Pedro e Inês,Pedro e Inés,Pandora Filmes,7/8/2021,Portugal / Brasil / França,Drama,16,4,"5.473,10",327
Noite passada em Soho,Last night in Soho,Universal,11/18/2021,Reino Unido,Terror,16,388,"769.507,39",47.267
Enquanto houver amor,Hope gap,California,11/18/2021,Reino Unido,Drama,12,6,"11.424,13",508
Ataque dos cães,The power of the dog,O2 Play,11/18/2021,Reino Unido,Faroeste,12,8,"9.390,37",481
"Mensageira, A",The courier,Playarte,10/28/2021,Reino Unido,Ação,16,115,"145.016,07",7.619
Algum lugar especial,Nowhere special,A2 Filmes,6/17/2021,Reino Unido,Drama,Livre,6,"5.216,70",255
Unidas pela esperança,Military wives,California,1/14/2021,Reino Unido,Drama,12,43,"46.534,98",1.993
Imperdoável,The unforgivable,Imagem,11/25/2021,Reino Unido / Alemanha / EUA,Drama,14,24,"27.456,22",1.512
Bela vingança,Promising young woman,Universal,5/13/2021,Reino Unido / EUA,Comédia,16,114,"482.018,81",22.200
#Semsaída,#Followme,Playarte,2/11/2021,Reino Unido / EUA,Terror,16,386,"1.138.171,59",81.411
Meu pai,The father,California,4/8/2021,Reino Unido / França,Drama,14,12,"397.797,01",21.482
De volta à Itália,Made in Italy,California,10/28/2021,Reino Unido / Itália,Comédia,12,23,"103.853,50",3.664
"Charlatão, O",Charlatan,A2 Filmes,7/8/2021,República Tcheca / Irlanda / Eslováquia,Drama,14,16,"36.968,99",1.814
Lua azul,Blue moon,Distribuição Própria,10/21/2021,Romênia,Drama,,0,"36,00",25
"Babá - O chamado das sombras, A",Baba Yaga - Terror of the dark forest,Playarte,12/9/2021,Rússia,Terror,12,190,"424.980,92",26.602
Chernobyl: O filme - Os segredos do desastre,Chernobyl - Abyss,Paris,11/18/2021,Rússia,Drama,12,195,"250.897,65",14.865
Heróis de fogo,Fire,Paris,9/16/2021,Rússia,Ação - Drama,14,10,"1.415,00",101
Caros camaradas - Trabalhadores em luta,Dear comrades,A2 Filmes,7/29/2021,Rússia,Guerra,14,8,"8.213,04",444
"Viúva das sombras, A",The widow,Paris,3/4/2021,Rússia,Terror,14,435,"1.403.557,31",97.349
Estranho passageiro - Sputnik,Sputnik,Playarte,1/21/2021,Rússia,Ficção-científica,16,272,"627.974,80",40.869
Minha irmã,Schwesterlein,A2 Filmes,1/28/2021,Suíça / Alemanha,Drama,14,7,"14.668,05",799
Bagdá vive em mim,Baghdad in my shadow,Arteplex Filmes,9/2/2021,Suíça / Alemanha / Inglaterra,Drama,16,18,"91.597,54",4.709
Azor,Azor,Vitrine Filmes,12/16/2021,Suíça / França / Argentina,Drama,12,14,"23.487,61",1.401
"Homem que vendeu sua pele, O",The man who sold his skin,Pandora Filmes,10/7/2021,Tunísia / França / Bélgica,Drama,14,16,"110.656,99",5.359
"Empregado e o patrão, O",El Empleado y el patrón,Vitrine Filmes,8/12/2021,Uruguai / Brasil / Argentina / França,Drama,14,5,"5.978,12",660
Sapatinho vermelho e os sete anões,Red shoes & the 7 dwarfs,Paris,12/31/2020,EUA / Coréia do Sul,Animação,Livre,0,"799.604,25",56.018
Sobradinho,Sobradinho,Distribuição Própria,12/24/2020,Brasil,Documentário,Livre,0,"292,48",12
Pequena garota,Petite fille,Imovision,12/24/2020,França,Documentário,10,0,"7.060,28",334
Querencia,Querencia,Vitrine Filmes,12/17/2020,Brasil,Drama,12,0,"502,12",28
Terapia do medo,Terapia do medo,DT/Paris,12/17/2020,Brasil,Suspense,16,0,"20,00",10
Mulher-Maravilha 1984,Wonder Woman 1984,Warner,12/17/2020,EUA,Aventura,10,0,"18.767.523,81",1.156.802
10 horas para o natal,10 horas para o natal,DT/Paris,12/10/2020,Brasil,Comédia,Livre,0,"4.974,48",362
Todos os mortos,Todos os mortos,Vitrine Filmes,12/10/2020,Brasil,Drama,14,0,"4.434,18",288
"8 magníficos, Os","8 magníficos, Os",Forte Filmes,12/10/2020,Brasil,Documentário,14,0,"258,06",14
"Sonâmbulos, Os","Sonâmbulos, Os",Embaúba Filmes,12/10/2020,Brasil,Drama,16,0,"197,48",12
Freaky - No corpo de um assassino,Freaky,Universal,12/10/2020,EUA,Terror,16,0,"164.149,01",9.990
M8 - Quando a morte socorre a vida,M8 - Quando a morte socorre a vida,DT/Paris,12/3/2020,Brasil,Suspense,14,0,"5.512,87",286
Soldado estrangeiro,Soldado estrangeiro,Bretz Filmes,12/3/2020,Brasil,Documentário,12,0,"591,72",34
New life S.A.,New life S.A.,Pandora Filmes,12/3/2020,Brasil,Drama,14,0,"376,48",22
Sertânia,Sertânia,Bretz Filmes,12/3/2020,Brasil,Faroeste,14,0,"245,00",29
Amizade maldita,Z - Made him do it,Imagem,12/3/2020,Canadá,Terror,14,0,"499.519,77",32.129
Trolls 2,Trolls world tour,Universal,12/3/2020,EUA,Animação,Livre,0,"2.021.697,02",132.910
"Poderoso chefão - Desfecho: A morte de Michael Corleone, O","The godfather, Coda - The death of Michael Corleone",Paramount,12/3/2020,EUA,Ação,16,0,"1.492,40",60
Belle époque,La belle époque,Diamond/Galeria,12/3/2020,França,Comédia - Romântica,16,0,"37.017,90",1.552
Babenco - Alguém tem que ouvir o coração e dizer: parou,Babenco - Alguém tem que ouvir o coração e dizer: parou,Imovision,11/26/2020,Brasil,Documentário,14,0,"8.635,38",402
Pacarrete,Pacarrete,Vitrine Filmes,11/26/2020,Brasil,Drama,12,0,"5.301,59",386
Mulher oceano,Mulher oceano,Elo Company,11/26/2020,Brasil,Drama,14,0,"868,39",35
Invasão zumbi 2 - Península,Train to Busan 2,Paris,11/26/2020,Coréia do Sul,Terror,14,0,"8.241,40",621
"Caso Collini, O",The Collini case,A2 Filmes,11/19/2020,Alemanha,Drama,14,0,"1.836,50",150
Maria Luiza,Maria Luiza,Olhar Distribuição,11/19/2020,Brasil,Documentário,10,0,"40,00",5
Destruição final - O último refúgio,Greenland,Diamond/Galeria,11/19/2020,EUA,Ação,12,0,"939.701,53",54.649
Convenção das bruxas,The witches,Warner,11/19/2020,EUA,Aventura,10,0,"401.392,79",27.481
Enquanto estivermos juntos,I still believe,Paris,11/19/2020,EUA,Drama,10,0,"13.564,43",1.228
Legado Italiano,Legado Italiano,Lança Filmes,11/12/2020,Brasil,Documentário,,0,"187,00",23
"3º andar - Terror na rua Malasana, O",Malasaña 32,Paris,11/12/2020,Espanha,Terror,14,0,"96.904,12",7.102
Possessão - O último estágio,The assent,Playarte,11/12/2020,EUA,Terror,12,0,"73.400,78",5.054
Quarto 212,Chambre 212,Imovision,11/12/2020,França,Comédia - Dramática,14,0,"1.136,00",68
"Dia com Jerusa, Um","Dia com Jerusa, Um",Distribuição Própria,11/5/2020,Brasil,Drama,14,0,"587,33",27
"Barco, O","Barco, O",Sereia Filmes,11/5/2020,Brasil,Drama,14,0,"418,38",22
Jovens bruxas - Nova irmandade,The craft - Legacy,Sony,11/5/2020,EUA,Terror,12,0,"1.717,50",72
2,2,Elo Company,10/29/2020,Brasil,Suspense,16,0,"0,00",0
Alice Guy-Blaché - A história não contada da primeira cineasta do mundo,Be natural - The untold story of Alice Guy-Blaché,Arteplex Filmes,10/29/2020,EUA,Documentário,10,0,"659,17",46
Tenet,Tenet,Warner,10/29/2020,Inglaterra / EUA,Ação,14,0,"37.904,62",2.239
"Novos Mutantes, Os",The New Mutants,Disney,10/22/2020,EUA,Ação,14,0,"12.028,88",734
Como cães e gatos 3 - Peludos unidos,Cats & dogs 3 - Paws unite,Warner,10/22/2020,EUA,Infantil,Livre,0,"2.361,00",278
É doce!,The Elfkins,Playarte,10/15/2020,Alemanha,Animação,Livre,0,"4.865,62",716
40 dias - O milagre da vida,Unplanned,Imagem,10/15/2020,EUA,Religioso,16,0,"0,00",0
Viver para cantar,To live to sing,Arteplex Filmes,10/8/2020,China / França,Drama,12,0,"658,15",47
"Faces do demônio, As",Metamorphosis,Paris,10/8/2020,Coréia do Sul,Terror,16,0,"1.391,50",68
"Ilha da fantasia, A",Fantasy island,Sony,9/24/2020,EUA,Terror,14,0,"7.807,70",333
"Cemitério das almas perdidas, O","Cemitério das almas perdidas, O",Elo Company,9/17/2020,Brasil,Terror,16,0,"1.366,98",62
Aos olhos de Ernesto,Aos olhos de Ernesto,Elo Company,9/17/2020,Brasil,Drama,,0,"388,00",43
Alice Júnior,Alice Júnior,Olhar Distribuição,9/10/2020,Brasil,Comédia,,0,"146,00",11
Scooby! O Filme,Scooby!,Warner,9/10/2020,EUA,Animação,,0,"313.886,91",25.222
Apocalypse now - Final cut,Apocalypse now,Pandora Filmes,9/10/2020,EUA,Guerra,16,0,"10.058,47",491
Magnatas do crime,The gentlemen,Paris,9/10/2020,EUA,Ação,16,0,"9,74",2
"Roubo do século, O",El robo del siglo,Warner,8/27/2020,Argentina,Comédia,16,0,"940,00",54
Música para morrer de amor,Música para morrer de amor,Vitrine Filmes,8/13/2020,Brasil,Romance,16,0,"126,00",56
Tel Aviv em chamas,Tel Aviv on fire,Pandora Filmes,3/19/2020,Luxemburgo / Bélgica / Israel / França,Comédia,12,0,"1.939,11",119
Aprendiz de espiã,My spy,Diamond Films,3/12/2020,EUA,Comédia,12,0,"84,46",7
"Oficial e o espião, O",J'accuse,California,3/12/2020,França / Itália,Drama,14,0,"1.895,64",99
Liberté,Liberté,Zeta Filmes,3/12/2020,França / Portugal,Drama,18,0,"4.776,75",225
Terremoto,The quake,California,3/12/2020,Noruega,Ação,14,0,"487,00",32
Doce entardecer na Toscana,Dolce fine Giornatta,Arteplex Filmes,3/12/2020,Polônia,Drama,16,0,"5.499,02",328
"Maldição do espelho, A",Pikovaya dama. Zazerkalye,Paris,3/12/2020,Rússia,Terror,16,0,"22.385,36",1.778
Dois irmãos - Uma jornada fantástica,Onward,Disney,3/5/2020,EUA,Animação,10,0,"6.100,00",435
"Melhor está por vir, O",Le meilleur reste à venir,Paris,3/5/2020,França / Bélgica,Comédia,,0,"112,50",6
Luta por justiça,Just mercy,Warner,2/20/2020,EUA,Drama,,0,"3.073,96",184
Sonic - O filme,Sonic the hedgehog,Paramount,2/13/2020,Japão / EUA,Aventura,Livre,0,"1.011,06",96
Cicatrizes,Savovi,Arteplex Filmes,2/13/2020,Sérvia,Drama,12,0,"960,00",70
Aves de rapina - Arlequina e sua emancipação fantabulosa,Birds of Prey (and the fantabulous emancipation of one Harley Quinn),Warner,2/6/2020,EUA,Ação,16,0,"507,00",39
1917,1917,Universal,1/23/2020,EUA / Reino Unido,Drama,,0,"0,00",0
Jumanji - Próxima fase,Jumanji - The next level,Sony,1/16/2020,EUA,Aventura,12,0,"745,80",110
"Melhor juventude, A",La meglio gioventù,Arteplex Filmes,1/16/2020,Itália,Drama,,0,"1.995,88",76
Adoráveis mulheres,Little women,Sony,1/9/2020,EUA,Drama,10,0,"360,00",38
"Farol, O",The lighthouse,Vitrine Filmes,1/2/2020,Canadá / EUA,Drama,16,0,"195,00",20
"Caso Richard Jewell, O",Richard Jewell,Warner,1/2/2020,EUA,Drama,,0,"5.033,80",424
Minha mãe é uma peça 3,Minha mãe é uma peça 3,DT/Paris,12/26/2019,Brasil,Comédia,12,0,"2.927,59",161
Dora e a cidade perdida,Dora and the lost city of gold,Paramount,11/14/2019,EUA,Aventura,10,0,"536,61",93
Adam,Adam,Arteplex Filmes,11/14/2019,França / Marrocos,Drama,12,0,"312,00",25
"Família Addams, A",Addams family,Universal,10/31/2019,EUA,Animação,Livre,0,"1.689,04",114
Malévola - Dona do mal,Maleficent: Mistress of Evil,Disney,10/17/2019,EUA,Aventura,,0,"0,00",0
Greta,Greta,Pandora Filmes,10/10/2019,Brasil,Drama,18,0,"120,00",18
Coringa,Joker,Warner,10/3/2019,EUA,Drama,16,0,"2.781,00",232
Encontros,Deux moi,Imovision,10/3/2019,França,Drama,12,0,"202,80",9
Abigail e a cidade proibida,Abigail,Playarte,9/12/2019,Rússia,Aventura,,0,"25,16",2
Corgi - Top dog,The queen's Corgi,Imagem,9/5/2019,Bélgica,Animação,Livre,0,"7.542,04",411
It - Capítulo 2,It 2,Warner,9/5/2019,EUA,Terror,16,0,"677,00",56
"Brinquedos mágicos, Os",Tea Pets,Playarte,8/22/2019,China,Animação,Livre,0,"928,97",161
"Rei leão, O",The lion king,Disney,7/18/2019,EUA,Aventura,10,0,"7.834,36",789
Homem-Aranha - Longe de casa,Spider-Man - Far from home,Sony,7/4/2019,EUA,Aventura,10,0,"3.353,84",475
Turma da Mônica - Laços,Turma da Mônica - Laços,DT/Paris,6/27/2019,Brasil,Aventura,,0,"1.344,93",209
Annabelle 3 - De volta para casa,Annabelle 3,Warner,6/27/2019,EUA,Terror,,0,"3.823,00",332
Pets - A vida secreta dos bichos 2,The secret life of pets 2,Universal,6/27/2019,EUA,Animação,Livre,0,"62,32",8
Toy Story 4,Toy Story 4,Disney,6/20/2019,EUA,Animação,Livre,0,"929,41",133
"Santiago, Itália","Santiago, Itália",Pandora Filmes,6/20/2019,Itália/ França,Documentário,12,0,"70,00",12
Godzilla II - Rei dos monstros,Godzilla - King of the monsters,Warner,5/30/2019,EUA,Ação,12,0,"0,00",0
Aladdin,Aladdin,Disney,5/23/2019,EUA,Aventura,10,0,"4.176,29",675
Pokémon - Detetive Pikachu,Detective Pikachu,Warner,5/9/2019,EUA/ Japão,Aventura,,0,"2.876,20",390
Varda por Agnès,Varda by Agnès,Imovision,5/9/2019,França,Documentário,,0,"343,18",9
Shazam!,Shazam!,Warner,4/4/2019,EUA,Ação,12,0,"2.281,34",260
Três faces,Se rokh,Imovision,4/4/2019,Irã,Drama,,0,"391,93",12
"Parque dos sonhos, O",Wonder park,Paramount,3/14/2019,EUA,Animação,Livre,0,"5.077,58",871
Capitã Marvel,Captain Marvel,Disney,3/7/2019,EUA,Ação,,0,"3.725,46",549
Dogman,Dogman,Arteplex Filmes,2/21/2019,Itália/ França,Policial,16,0,"12,00",1
Tito e os pássaros,Tito e os pássaros,Elo Company/Europa,2/14/2019,Brasil,Animação,Livre,0,"105,48",12
"Mula, A",The mule,Warner,2/14/2019,EUA,Drama,16,0,"11,00",1
Como treinar o seu dragão 3,How to train your dragon 3,Universal,1/17/2019,EUA,Animação,Livre,0,"338,00",26
Homem-Aranha no Aranhaverso,Spider-Man into the Spider-Verse,Sony,1/10/2019,EUA,Animação,10,0,"2.106,05",365
"Confeiteiro, O",The cakemaker,Imovision,12/27/2018,Alemanha,Drama,14,0,"1.206,02",37
Minha vida em Marte,Minha vida em Marte,DT/Paris,12/27/2018,Brasil,Comédia,12,0,"39,00",2
Aquaman,Aquaman,Warner,12/13/2018,EUA,Ação,12,0,"2.363,04",220
Encantado (2018),Charming,Imagem,12/6/2018,Canadá/ EUA,Animação,Livre,0,"443,10",30
"Viúvas, As",Widows,Fox,11/29/2018,EUA,Suspense,16,0,"1.250,00",75
Nasce uma estrela,A star is born,Warner,10/11/2018,EUA,Musical,,0,"3.354,50",270
PéPequeno,Smallfoot,Warner,9/27/2018,EUA,Animação,,0,"1.674,00",133
"Freira, A",The nun,Warner,9/6/2018,EUA,Terror,,0,"3.794,30",332
"Herdeiras, As",Las herederas,Imovision,8/30/2018,Paraguai,Drama,,0,"141,37",6
Hotel Transilvânia 3 - Férias monstruosas,Hotel Transylvania 3 - Summer vacation,Sony,7/12/2018,EUA,Animação,,0,"3.825,51",663
"Dia depois, O",Geu-Hu,Pandora Filmes,4/12/2018,Coréia do Sul,Comédia,,0,"95,00",13
Em pedaços,Aus dem nichts,Imovision,3/15/2018,Alemanha/ França,Drama,16,0,"318,79",16
12 heróis,12 strong,Diamond Films,3/15/2018,EUA,Drama,14,0,"0,00",0
Acossado,À bout de souffle,Zeta Filmes,2/8/2018,França,Drama,14,0,"255,00",28
"Insulto, O",L'insulte,Imovision,2/8/2018,França/ Líbano,Drama,14,0,"294,41",11
The square - A arte da discórdia,The square,Pandora Filmes,1/4/2018,Suécia/ Alemanha/ Noruega/ França,Comédia,14,0,"145,00",22
Extraordinário,Wonder,Paris,12/7/2017,EUA,Drama,10,0,"1.956,33",329
Liga da Justiça,Justice league,Warner,11/15/2017,EUA,Ação,12,0,"707,00",63
"Mulher fantástica, Uma",Una mujer fantástica,Imovision,9/7/2017,Chile,Drama,14,0,"214,49",6
It: A coisa,It,Warner,9/7/2017,EUA,Terror,,0,"693,60",59
Afterimage,Powidoki,Imovision,8/17/2017,Polônia,Biografia,,0,"256,41",7
Monsieur & Madame Adelman,Monsieur & Madame Adelman,Imovision,7/20/2017,França,Comédia,,0,"509,90",18
Mulher-Maravilha, Wonder Woman,Warner,6/1/2017,EUA,Aventura,10,0,"553,20",37
Z - A cidade perdida,The Lost City of Z,Imagem,6/1/2017,EUA,Ação,,0,"0,00",0
"Autópsia, A",The Autopsy of Jane Doe,Diamond Films,5/4/2017,Reino Unido/ EUA,Horror,,0,"0,00",0
"Cabana, A",The Shack,Paris,4/6/2017,EUA,Drama,,0,"1.554,00",200
Eu não sou seu negro,I Am Not Your Negro,Imovision,2/16/2017,EUA/ França,Documentário,12,0,"214,49",11
Paraíso,pan,Mares Filmes,1/26/2017,Rússia,Drama,,0,"140,00",10
"Apartamento, O",Forushande,Pandora Filmes,1/5/2017,Irã,Drama,,0,"130,00",18
Minha mãe é uma peça 2,Minha mãe é uma peça 2,DT/Paris,12/22/2016,Brasil,Comédia,12,0,"0,00",0
Rogue One - Uma história Star Wars,Rogue One: A Star Wars Story,Disney,12/15/2016,EUA,Ficção-científica,,0,"3.110,10",284
Trolls,Trolls,Fox,10/27/2016,EUA,Animação,,0,"1.007,00",88
Aquarius,Aquarius,Vitrine Filmes,9/1/2016,Brasil,Drama,16,0,"48,76",2
Francofonia - Louvre sob ocupação,"Francofonia, le louvre sous loccupation",Imovision,8/18/2016,França/Alemanha,Documentário,10,0,"638,58",21
Invocação do mal 2,The Conjuring 2: The Enfield Poltergeist,Warner,6/9/2016,EUA,Horror,,0,"1.052,10",80
"Noite em sampa, Uma","Noite em sampa, Uma",02 Play,5/26/2016,Brasil,Comédia,,0,"76,32",8
Truman,Truman,Pandora Filmes,4/14/2016,Espanha,Drama,,0,"485,00",48
Para minha amada morta,Para minha amada morta,Vitrine Filmes,3/31/2016,Brasil,Drama,,0,"336,00",30
Eu sou Carlos Imperial,Eu sou Carlos Imperial,Bretz/ Videofilmes,3/17/2016,Brasil,Documentário,,0,"285,00",22
Matrix (1999),Matrix,Warner,10/17/2015,EUA,Ficção-científica,14,0,"257.686,72",14.041
"Homem do Rio, O",L'homme de Rio,Festival Varilux 2015,6/9/2015,França,Aventura,,0,"0,00",0
"Sal da Terra, O",Le Sel de La Terre,Imovision,3/26/2015,Brasil/Itália/França,Documentário,10,0,"686,34",31
Sr. Kaplan,Mr. Kaplan,Pandora Filmes,2/26/2015,Uruguai /Espanha /Alemanha,Comédia,12,0,"155,00",22
"Segredo dos diamantes, O","Segredo dos diamantes, O",Espaço Filmes,12/18/2014,Brasil,Aventura,,0,"11,58",2
John Wick - De volta ao jogo,John Wick,Imagem,11/27/2014,EUA/Canadá/China,Ação,,0,"6.716,42",947
Minha mãe é uma peça - O filme,Minha mãe é uma peça - O filme,DT/Paris,6/21/2013,Brasil,Comédia,12,0,"2.752,00",229
Cara ou coroa,Cara ou coroa,Vinny Filmes,9/7/2012,Brasil,Drama,12,0,"29,16",4
Solo,Solo,Espaço Filmes,5/21/2010,Brasil,Drama,Livre,0,"52,53",7
Garoto Cósmico,Garoto Cósmico,Downtown,1/11/2008,Brasil,Animação,Livre,0,"70,53",7
