,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
83,Bohemian Rhapsody,Bohemian Rhapsody,Fox,11/1/2018,EUA,Biografia,14,719,"3.547.437,38",176.717
84,"Ela disse, ele disse","Ela disse, ele disse",Imagem,10/3/2019,Brasil,Comédia,Livre,486,"3.456.550,24",245.137
85,Predadores assassinos,Crawl,Paramount,9/26/2019,EUA,Terror,16,563,"3.410.381,61",230.927
86,As golpistas ,Hustlers,Diamond Films,12/5/2019,EUA,Comédia,16,456,"3.348.886,67",218.786
87,Corgi - Top dog,The queen's Corgi,Imagem,9/5/2019,Bélgica,Animação,Livre,512,"3.319.845,33",227.293
88,A sereia - Lago dos mortos,The mermaid - Lake of the dead,Paris,1/31/2019,Russia,Terror,12,313,"3.306.350,17",234.645
89,O menino que queria ser rei,The kid who would be king,Fox,1/31/2019,EUA,Aventura,Livre,507,"3.256.720,57",232.895
90,Playmobil - O filme,Playmobil,Paris,12/19/2019,França / Alemanha / EUA,Animação,Livre,477,"3.148.214,08",211.016
91,Vingança a sangue frio,Cold pursuit,Paris,3/14/2019,Reino Unido,Ação,16,325,"3.100.331,34",194.476
92,Parasita,Parasita,Alpha Filmes/ Pandora,11/7/2019,Coréia do Sul,Suspense,16,63,"3.055.958,22",161.798
93,Meu amigo Enzo,The art of racing in the rain,Disney,8/8/2019,EUA,Drama,10,474,"3.053.260,46",200.378
94,A esposa,The wife,Alpha Filmes/ Pandora,1/10/2019,Reino Unido / Suecia / EUA,Drama,12,60,"2.959.430,36",159.340
95,Um dia de chuva em Nova York,A rainy day in New York,Imagem,11/21/2019,EUA,Comédia,14,117,"2.948.683,36",137.758
96,Maligno,The prodigy,Imagem,3/14/2019,EUA,Terror,16,404,"2.791.855,66",188.557
97,Histórias assustadoras para contar no escuro,Scary stories to tell in the dark,Diamond Films,8/8/2019,EUA,Terror,14,371,"2.671.460,75",182.690
98,Carcereiros - O filme,Carcereiros - O filme,Imagem,11/28/2019,Brasil,Drama,16,548,"2.608.942,25",193.212
99,Hellboy,HELLBOY - RISE OF THE BLOOD QUEEN,Imagem,5/23/2019,EUA,Ação,16,457,"2.578.065,00",173.905
