,,,,,,,ACUMULADO,
A princesa da Yakuza,A princesa da Yakuza,Warner,2.504,109,1,10/7/2021,2.504,109
Aleluia - O canto infinito do Tincoã,Aleluia - O canto infinito do Tincoã,Descoloniza Filmes,2.343,101,1,11/18/2021,2.343,101
"Diabo branco, O",El diablo blanco,Pandora Filmes,2.319,155,3,8/5/2021,2.319,155
"Ninho, O",Il nido,A2 Filmes,2.170,105,2,11/11/2021,2.170,105
Chico Ventana também queria ter um submarino,Chico Ventana também queria ter um submarino,Vitrine Filmes,2.151,287,5,7/8/2021,2.151,287
Sanctorum,Sanctorum,Zeta Filmes,2.119,181,4,10/21/2021,2.119,181
"Chacrinha, eu vim para confundir e não para explicar","Chacrinha, eu vim para confundir e não para explicar",Bretz Filmes,2.057,115,2,1/28/2021,2.057,115
Callado,Callado,Bretz Filmes,2.002,113,3,1/21/2021,2.002,113
AmarAção,AmarAção,Boca a Boca Filmes,1.882,85,9,6/10/2021,1.882,85
SARS-CoV-2 - O tempo da pandemia,SARS-CoV-2 - O tempo da pandemia,Arteplex Filmes,1.841,106,9,11/18/2021,1.841,106
Christabel,Christabel,Pipa Produções,1.767,96,11,2/25/2021,1.767,96
"Prazer, camaradas!","Prazer, camaradas!",Bretz Filmes,1.672,116,2,7/15/2021,1.672,116
Os lobos do leste,The wolf of the east,Bretz Filmes,1.626,89,2,2/25/2021,1.626,89
A outra pele,La otra piel,Plural Filmes,1.620,135,1,8/12/2021,1.620,135
Nina,Nina,Europa,1.617,86,2,11/18/2021,1.617,86
"O palhaço, deserto","O palhaço, deserto",Bretz Filmes,1.570,70,2,9/2/2021,1.570,70
Dora e Gabriel,Dora e Gabriel,O2 Play,1.559,90,5,9/23/2021,1.559,90
"Poderoso chefão - Desfecho: A morte de Michael Corleone, O","The godfather, Coda - The death of Michael Corleone",Paramount,1.492,60,20,12/3/2020,71.827,2.648
Heróis de fogo,Fire,Paris,1.415,101,10,9/16/2021,1.415,101
Migliaccio - O brasileiro em cena,Migliaccio - O brasileiro em cena,Bretz Filmes,1.413,88,4,7/8/2021,1.413,88
O último jogo,O último jogo,Pandora Filmes,1.353,76,4,5/20/2021,1.353,76
Music,Music by Sia,Cinecolor,1.285,51,16,5/6/2021,1.285,51
Madalena,Madalena,Vitrine Filmes,1.265,162,4,12/9/2021,1.265,162
Amores expressos,Chung Hing sam lam,Distribuição Própria,1.163,75,2,12/9/2021,1.163,75
Amor sem medida,Amor sem medida,DT/Paris,1.130,95,7,11/4/2021,1.130,95
Delicadeza é azul,Delicadeza é azul,Pipa Produções,1.088,57,7,1/14/2021,1.088,57
Zimba,Zimba,Bretz Filmes,1.037,57,2,9/30/2021,1.037,57
E agora mamãe saiu de férias 2... E levou a família,When mon is away…with the family,A2 Filmes,1.035,59,2,12/9/2021,1.035,59
Lamaçal,Lamaçal,Elo Company,1.000,47,2,10/28/2021,1.000,47
Currais,Currais,O2 Play,985,118,1,4/1/2021,985,118
Alcione - O samba é primo do jazz,Alcione - O samba é primo do jazz,Distribuição Própria,974,52,1,2/11/2021,974,52
PJ Harvey: Um cão chamado dinheiro,A dog called Money,Zeta Filmes,922,55,4,2/25/2021,922,55
A quem interessa a ignorância?,A quem interessa a ignorância?,O2 Play,882,45,2,6/3/2021,882,45
A ponte de bambu,A ponte de bambu,Elo Company,879,47,1,2/11/2021,879,47
Raia 4,Raia 4,Boulevard Filmes,863,70,2,5/6/2021,863,70
Três realizadoras portuguesas,Três realizadoras portuguesas,Bretz Filmes,818,45,2,5/20/2021,818,45
Taís e Taiane,Taís e Taiane,Pandora Filmes,804,58,1,10/14/2021,804,58
Stillwater: Em busca da verdade,Stillwater,Warner,717,62,3,10/28/2021,717,62
Meu querido supermercado,Meu querido supermercado,Elo Company,713,93,2,11/25/2021,713,93
Lara,Lara,Imovision,691,35,4,12/30/2021,691,35
Soldado estrangeiro,Soldado estrangeiro,Bretz Filmes,592,34,10,12/3/2020,4.088,251
Limiar,Limiar,Taturana Mobilização Social,559,60,2,8/19/2021,559,60
Virando a mesa,Virando a mesa,DT/Paris,542,37,5,9/16/2021,542,37
Intervenção,Intervenção,DT/Paris,524,37,5,9/2/2021,524,37
DAU. Natasha,DAU. Natasha,Imovision,509,25,1,10/7/2021,509,25
Querencia,Querencia,Vitrine Filmes,502,28,5,12/17/2020,1.222,70
Nheengatu - O filme,Nheengatu - O filme,Pandora Filmes,470,28,1,12/2/2021,470,28
Boa noite,Boa noite,Bretz Filmes,461,23,2,5/13/2021,461,23
O barco,O barco,Sereia Filmes,418,22,4,11/5/2020,12.689,914
"Siron, tempo sobre tela","Siron, tempo sobre tela",Pandora Filmes,410,21,2,5/6/2021,410,21
Coração errante,Errante corazón,Elo Company,400,20,1,8/19/2021,400,20
New life S.A.,New life S.A.,Pandora Filmes,376,22,20,12/3/2020,3.075,251
Você não é um soldado,Você não é um soldado,Elo Company,364,59,1,9/23/2021,364,59
Zaz - An exclusive concert at the cinema,Zaz - An Exclusive Concert At The Cinema,Independente,363,20,5,11/25/2021,363,20
Portuñol,Portuñol,Lança Filmes,351,41,1,6/3/2021,351,41
Desvio,Desvio,Vitrine Filmes,337,34,3,4/29/2021,337,34
Loop,Loop,Elo Company,321,20,1,5/20/2021,321,20
O novelo,O novelo,O2 Play,312,32,2,11/25/2021,312,32
Cora,Cora,Pandora Filmes,299,18,1,12/23/2021,299,18
Nazinha - Olhai por nós,Nazinha - Olhai por nós,Boulevard Filmes,295,21,1,4/29/2021,295,21
Sobradinho,Sobradinho,Distribuição Própria,292,12,1,12/24/2020,366,17
"Minha fortaleza, os filhos de fulano","Minha fortaleza, os filhos de fulano",Distribuição Própria,285,15,1,2/25/2021,285,15
Cyrano,Cyrano,Universal,281,18,1,12/16/2021,281,18
Wild - Rede selvagem,Wild - Rede selvagem,Bretz Filmes,276,16,2,12/2/2021,276,16
Os 8 magníficos,"8 magníficos, Os",Forte Filmes,258,14,9,12/10/2020,2.738,144
A torre,A torre,Vitrine Filmes,250,37,3,4/29/2021,250,37
Sertânia,Sertânia,Bretz Filmes,245,29,5,12/3/2020,2.152,147
"Entre nós, um segredo","Entre nós, um segredo",Vitrine Filmes,245,34,3,4/29/2021,245,34
Diários de intercâmbio,Diários de intercâmbio,DT/Paris,227,34,1,7/29/2021,227,34
O Pergaminho Vermelho,O Pergaminho Vermelho,Vitrine Filmes,224,10,1,8/5/2021,224,10
Amor fati,Amor fati,Bretz Filmes,208,13,1,12/16/2021,208,13
Os sonâmbulos,Os sonâmbulos,Embaúba Filmes,197,12,2,12/10/2020,683,38
A mulher da luz própria,A mulher da luz própria,Mercúrio Produções,190,13,1,4/8/2021,190,13
L.O.C.A.,L.O.C.A.,Imagem,164,10,1,7/29/2021,164,10
Chão,Chão,Vitrine Filmes,146,24,3,4/29/2021,146,24
Júpiter,Júpiter,Elite Filmes,120,15,1,10/28/2021,120,15
Quem pode jogar?,Quem pode jogar?,Distribuição Própria,63,12,1,2/11/2021,63,12
Como ela faz?,Como ela faz?,Distribuição Própria,nd,nd,nd,3/4/2021,nd,nd
"Pantanal, a boa inocência de nossas origens","Pantanal, a boa inocência de nossas origens",Elo Company,nd,nd,nd,3/4/2021,nd,nd
Proibido nascer no paraíso,Proibido nascer no paraíso,Boulevard Filmes,nd,nd,nd,4/15/2021,nd,nd
Paul Singer - Uma utopia militante,Paul Singer - Uma utopia militante,Distribuição Própria,nd,nd,nd,7/29/2021,nd,nd
Lua azul,Blue moon,Distribuição Própria,nd,nd,nd,10/21/2021,nd,nd
Hermanoteu na terra de Godah - O filme,Hermanoteu na terra de Godah - O filme,Warner,nd,nd,nd,12/9/2021,nd,nd
No táxi do Jack,No táxi do Jack,Bretz Filmes,nd,nd,nd,12/16/2021,nd,nd
