,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2022 (R$), Público 2022,Salas Abertura,Estreia, renda (R$),público
"Noite do triunfo, A",Un triomphe,Imovision,99.029,5.337,18,4/21/2022,99.029,5.337
"Amor, sublime amor",West side story,Disney,96.819,4.741,365,12/9/2021,718.898,34.605
Muco - Contradição na tradição,Muco - Contradição na tradição,Guruji Filmes,93.990,4.641,10,12/8/2022,93.990,4.641
Belle,Belle - The dragon and the freckled princess,Paris,90.508,4.836,148,1/27/2022,90.508,4.836
Ruído branco,White noise,O2 Play,89.159,4.081,36,12/8/2022,89.159,4.081
"Criança do diabo, A",Diavlo - The devil´s child,Cinecolor,88.245,4.629,56,4/28/2022,88.245,4.629
"Debate, O","Debate, O",DT/Paris,87.775,4.441,122,8/25/2022,87.775,4.441
"Summer of soul (... ou, quando a revolução não pode ser televisionada)","Summer of soul (... or, when the revolution could not be televised)",Disney,86.658,6.100,6,1/27/2022,86.658,6.100
"Acontecimento, O",L'événement,Zeta Filmes,85.290,5.082,29,7/7/2022,85.290,5.082
Carvão,Carvão,Pandora Filmes,84.103,4.577,22,11/3/2022,84.103,4.577
"Luta de uma vida, A",The survivor,Diamond/Galeria,83.443,3.700,73,9/8/2022,83.443,3.700
Esperando Bojangles,En attendant Bojangles,California,82.714,3.540,28,11/3/2022,82.714,3.540
"Farsa, A",Mascarade,Diamond/Galeria,82.670,3.619,20,12/22/2022,82.670,3.619
Madre Teresa - Amor maior não há,Mother Teresa - No greater love,Kolbe Arte Produções,82.396,5.456,96,11/21/2022,82.396,5.456
Memoria,Memoria,O2 Play,82.113,4.973,17,7/21/2022,82.113,4.973
Flee - Nenhum lugar para chamar de lar,Flee,Diamond/Galeria,79.524,4.825,38,4/21/2022,79.524,4.825
"Ennio, o maestro",Ennio,Bonfilm,79.009,4.457,19,9/29/2022,79.009,4.457
Roda do destino,Wheel of fortune and fantasy,Pandora Filmes,77.522,4.501,16,1/6/2022,77.522,4.501
"Clube dos anjos, O","Clube dos anjos, O",Vitrine Filmes,75.464,4.499,31,11/3/2022,75.464,4.499
Lola e seus irmãos,Lola et ses frères,Pandora Filmes,71.220,3.690,21,7/7/2022,71.220,3.690
"Crônica francesa, A",The french dispatch,Disney,70.663,3.434,58,11/18/2021,703.411,30.974
Pinóquio,Pinocchio,O2 Play,69.961,3.673,21,11/24/2022,69.961,3.673
Sistema bruto,Sistema bruto,Do2,67.756,3.871,126,9/29/2022,67.756,3.871
"Fratura, A",La fracture,Imovision,67.318,3.575,14,5/5/2022,67.318,3.575
Entre rosas,La fine fleur,California,65.770,2.821,29,9/1/2022,65.770,2.821
Amantes,Amants,Pandora Filmes,62.136,4.625,32,9/15/2022,62.136,4.625
1982,1982,Estúdio Escarlate,62.112,3.374,20,6/2/2022,62.112,3.374
Marighella,Marighella,DT/Paris,61.090,3.152,381,11/4/2021,6.150.792,323.882
