,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2019 (R$), Público 2019,Salas Abertura,Estreia, renda (R$),público
Maligno,The prodigy,Imagem,2.791.856,188.557,404,3/14/2019,2.791.856,188.557
Histórias assustadoras para contar no escuro,Scary stories to tell in the dark,Diamond Films,2.671.461,182.690,371,8/8/2019,2.671.461,182.690
Carcereiros - O filme,Carcereiros - O filme,Imagem,2.608.942,193.212,548,11/28/2019,2.608.942,193.212
Hellboy,Hellboy,Imagem,2.578.065,173.905,457,5/23/2019,2.578.065,173.905
Cine Holliúdy 2 - A chibata sideral,Cine Holliúdy 2 - A chibata sideral,DTF/Paris,2.479.243,172.363,121,3/21/2019,2.479.243,172.363
Downton Abbey,Downton Abbey,Universal,2.469.095,107.924,50,10/24/2019,2.469.095,107.924
Juntos para sempre,A dog's journey,Universal,2.449.027,168.046,351,6/6/2019,2.449.027,168.046
Casal improvável,Long shot,Paris,2.410.524,129.113,262,6/20/2019,2.410.524,129.113
A odisseia dos tontos,La odisea de los giles,Warner,2.304.622,119.289,95,10/31/2019,2.304.622,119.289
A maldição da freira,The devil's doorway,Playarte,2.270.107,147.850,189,2/28/2019,2.270.107,147.850
Midway - Batalha em alto mar,Midway,Diamond Films,2.262.045,138.399,438,11/21/2019,2.262.045,138.399
Medo profundo - O segundo ataque,47 meters down - The next chapter,Paris,2.115.759,153.431,358,11/21/2019,2.115.759,153.431
Todos já sabem,Everybody knows,Paris,2.029.090,105.062,64,2/21/2019,2.029.090,105.062
BTS - Bring The Soul: The Movie,BTS - Bring The Soul: The Movie,Cinemark,2.006.755,101.241,753,8/7/2019,2.006.755,101.241
Hebe - A estrela do Brasil,Hebe - A estrela do Brasil,Warner,1.982.550,117.518,398,9/26/2019,1.982.550,117.518
A vida invisível,"Vida invisível, A",Sony / Vitrine Filmes,1.971.685,112.770,0,10/31/2019,1.971.685,112.770
Ted Bundy - A irresistível face do mal,Extremely wicked shockingly evil and vile,Paris,1.919.233,95.470,111,7/25/2019,1.919.233,95.470
O retorno de Mary Poppins,Mary Poppins returns,Disney,1.899.333,110.790,675,12/20/2018,6.658.932,393.046
Uma nova chance,Second act,Diamond Films,1.885.029,123.302,236,1/31/2019,1.885.029,123.302
Minha fama de mau,Minha fama de mau,DTF/Paris,1.802.090,113.131,212,2/14/2019,1.802.090,113.131
Duas rainhas,Mary - Queen of Scots,Universal,1.778.642,82.216,61,4/4/2019,1.778.642,82.216
Atentado ao Hotel Taj Mahal,Hotel Mumbai,Imagem,1.771.671,77.668,110,7/11/2019,1.771.671,77.668
O manicômio,Heilstatten,Paris,1.711.996,108.937,202,1/3/2019,1.711.996,108.937
Eu sou mais eu,Eu sou mais eu,Imagem,1.702.919,127.503,537,1/24/2019,1.702.919,127.503
Anna - O perigo tem nome,Anna,Paris,1.700.367,100.101,308,8/29/2019,1.700.367,100.101
As trapaceiras,The hustle,Universal,1.581.720,91.415,153,7/25/2019,1.581.720,91.415
Um amor inesperado,El amor menos pensado,Alpha Filmes/ Pandora,1.573.574,86.413,55,3/14/2019,1.573.574,86.413
