,,,,,,,ACUMULADO,
Sequestro relâmpago,Sequestro relâmpago,Pagu Pictures,  202.513 ,  14.011 ,53,22/11/18,  202.513 ,  14.011 
Nos vemos no paraiso ,Au revoir l`-haut,Pandora,  197.432 ,  12.946 ,18,5/7/18,  197.432 ,  12.946 
Por trás dos seus olhos,All I see is you,Paris,  193.389 ,  10.253 ,31,22/3/18,  193.389 ,  10.253 
Wheely - Velozes e divertidos,Wheely,Playarte,  193.090 ,  13.379 ,113,6/9/18,  193.090 ,  13.379 
Museu,Museo,Supo Mungam Films,  192.454 ,  12.188 ,26,8/11/18,  192.454 ,  12.188 
Praça Paris,Praça Paris,Imovision,  190.846 ,  11.692 ,18,26/4/18,  190.846 ,  11.692 
"Visages, villages","Visages, villages",Fênix Filmes,  189.934 ,  12.154 ,13,25/1/18,  189.934 ,  12.154 
Estrelas de cinema nunca morrem,Film stars dont die in Liverpool,Diamond Films,  188.520 ,  10.999 ,9,26/4/18,  188.520 ,  10.999 
Culpa,The guilty,California,  185.423 ,  9.708 ,31,27/12/18,  185.423 ,  9.708 
Corpo e alma,A teströl és lélekröl,Imovision,  185.368 ,  11.933 ,15,21/12/17,  286.596 ,  18.092 
De Carona para o Amor,Tout Le Monde Debout,California,  185.269 ,  12.861 ,14,2/8/18,  185.269 ,  12.861 
Marvin,Marvin ou la belle éducation,Mares Filmes/A2 Filmes,  180.744 ,  11.664 ,22,6/9/18,  180.744 ,  11.664 
Amante por um dia,L'amant d'un jour,Fênix Filmes,  178.378 ,  11.273 ,19,15/3/18,  178.378 ,  11.273 
O homem perfeito,O homem perfeito,DTF/Paris,  177.733 ,  11.315 ,42,27/9/18,  177.733 ,  11.315 
Primavera em Casablanca,Razzia,California,  176.144 ,  12.448 ,12,19/7/18,  176.144 ,  12.448 
A câmera de Claire,La caméra de Claire,Pandora,  175.207 ,  10.783 ,14,24/5/18,  175.207 ,  10.783 
"Sem data, sem assinatura","Bedoune tarikh, bedoune emza",Imovision,  172.354 ,  10.401 ,15,20/9/18,  172.354 ,  10.401 
Hannah,Hannah,Zeta Filmes,  171.566 ,  10.176 ,20,12/7/18,  171.566 ,  10.176 
Oh Lucy!,Oh Lucy!,Imovision,  169.431 ,  9.629 ,9,28/6/18,  169.431 ,  9.629 
120 batimentos por minuto,120 battements par minute,Imovision,  165.047 ,  11.067 ,23,4/1/18,  165.047 ,  11.067 
Anna Karenina - A história de Vronsky,Anna Karenina - Istoriya Vronskogo,CPC-UMES Filmes,  163.589 ,  10.046 ,11,7/6/18,  163.589 ,  10.046 
Mudbound - Lágrimas sobre o Mississipi,Mudbound,Diamond Films,  158.535 ,  10.345 ,24,15/2/18,  158.535 ,  10.345 
Artista do desastre,The disaster artist,Warner,  157.272 ,  8.269 ,12,25/1/18,  157.272 ,  8.269 
A pé ele não vai longe,"Don't worry, he won't get far on foot",Diamond Films,  156.837 ,  7.373 ,35,27/12/18,  156.837 ,  7.373 
Bergman 100 anos,Bergman 100 years,Imovision,  155.319 ,  9.698 ,24,19/7/18,  155.319 ,  9.698 
O banquete,O banquete,Imovision,  153.436 ,  8.575 ,27,13/9/18,  153.436 ,  8.575 
O quebra-cabeça,Puzzle,Sony,  151.739 ,  8.862 ,13,15/11/18,  151.739 ,  8.862 
"Juliet, nua e crua","Juliet, naked",Diamond Films,  150.237 ,  8.869 ,17,4/10/18,  150.237 ,  8.869 
Uma mulher fantástica,Una mujer fantástica,Imovision,  150.157 ,  9.934 ,16,7/9/17,  527.721 ,  35.688 
A estrela de Belém,The star,Sony,  149.453 ,  11.978 ,439,30/11/17,  6.063.849 ,  491.237 
Chá com as damas,ing like a dame,Supo Mungam Films,  148.581 ,  9.458 ,26,13/12/18,  148.581 ,  9.458 
Uma questão pessoal,Una questione privata,Supo Mungam Films,  147.444 ,  9.840 ,25,20/9/18,  147.444 ,  9.840 
As boas maneiras,As boas maneiras,Imovision,  144.234 ,  8.863 ,28,7/6/18,  144.234 ,  8.863 
Meu tricolor de aço,Meu tricolor de aço,Estação Luz Filmes,  141.937 ,  9.606 ,14,6/12/18,  141.937 ,  9.606 
A cidade do futuro,A cidade do futuro,Espaço Filmes / Vitrine,  141.238 ,  10.405 ,16,26/4/18,  141.238 ,  10.405 
Motorrad,Motorrad,Warner,  139.564 ,  10.623 ,144,1/3/18,  139.564 ,  10.623 
Arábia,Arábia,Embaúba Filmes / Pique-Bandeira Filmes,  134.712 ,  9.310 ,11,5/4/18,  134.712 ,  9.310 
Rasga coração,Rasga coração,Sony,  130.377 ,  7.901 ,30,6/12/18,  130.377 ,  7.901 
Em chamas,Beoning,Pandora,  130.284 ,  7.694 ,8,15/11/18,  130.284 ,  7.694 
Coldplay: a head full of dreams,Coldplay: a head full of dreams',Cinemark,  128.843 ,  7.644 ,46,14/11/18,  128.843 ,  7.644 
Os fantasmas de Ismael,Les fantomes d?Ismaël,Imovision,  127.603 ,  7.680 ,17,3/5/18,  127.603 ,  7.680 
Assim é a vida,C'est la vie,Paris,  126.238 ,  8.363 ,30,21/12/17,  305.298 ,  19.091 
Severina,Severina,Vitrine,  123.165 ,  11.158 ,17,12/4/18,  123.165 ,  11.158 
Esplendor,Hikari,Imovision,  116.625 ,  6.976 ,15,10/5/18,  116.625 ,  6.976 
Egon Schiele - Morte e a donzela,Egon Schiele - Tod und mädchen,Cineart Filmes,  116.393 ,  6.957 ,14,19/7/18,  116.393 ,  6.957 
Entre-laços,Karera ga honki de amu toki wa,Lança Filmes,  115.794 ,  7.082 ,7,17/5/18,  115.794 ,  7.082 
O confeiteiro,The cakemaker,Imovision,  113.193 ,  6.361 ,17,27/12/18,  113.193 ,  6.361 
O terceiro assassinato,Sandome no satsujin,Imovision,  112.263 ,  5.781 ,7,19/4/18,  112.263 ,  5.781 
Café com canela,Café com canela,Arco Audiovisual,  111.191 ,  9.411 ,1,16/8/18,  111.191 ,  9.411 
O segredo de Davi,O segredo de Davi,Elo Company,  110.884 ,  9.209 ,66,22/11/18,  110.884 ,  9.209 
Zama,Zama,Vitrine,  110.289 ,  6.694 ,13,29/3/18,  110.289 ,  6.694 
Estás me matando Susana,Me estás matando Susana,Mares Filmes/A2 Filmes,  107.975 ,  6.703 ,22,18/10/18,  107.975 ,  6.703 
Ex-pajé,Ex-pajé,Gullane Entretenimento,  107.872 ,  6.951 ,11,26/4/18,  107.872 ,  6.951 
Suburbicon - Bem-vindos ao paraíso,Suburbicon,Diamond Films,  106.386 ,  7.320 ,77,21/12/17,  512.867 ,  30.326 
Minha filha,Figlia mia,Imovision,  103.388 ,  6.054 ,17,11/10/18,  103.388 ,  6.054 
O beijo no asfalto,O beijo no asfalto,Art House Movies,  101.548 ,  6.575 ,19,6/12/18,  101.548 ,  6.575 
Uma temporada na França,Un saison en France,Imovision,  101.128 ,  6.721 ,7,5/4/18,  101.128 ,  6.721 
Meu anjo,Angel face,Imovision,  100.133 ,  6.119 ,30,25/10/18,  100.133 ,  6.119 
Ciganos da Ciambra,A Ciambra,Pandora,  98.305 ,  6.390 ,9,3/5/18,  98.305 ,  6.390 
O animal cordial,O animal cordial,California,  97.785 ,  6.597 ,16,9/8/18,  97.785 ,  6.597 
João de Deus - O silêncio é uma prece    ,João de Deus - O silêncio é uma prece    ,DTF/Paris,  97.670 ,  5.611 ,29,31/5/18,  97.670 ,  5.611 
A odisseia,L'odyssée,Esfera,  96.014 ,  5.851 ,22,22/3/18,  96.014 ,  5.851 
Yonlu,Yonlu,Lança Filmes,  93.121 ,  6.984 ,25,30/8/18,  93.121 ,  6.984 
Dunkirk,Dunkirk,Warner,  92.134 ,  5.406 ,476,27/7/17,  14.517.260 ,  799.899 
"Conquistar, amar e viver intensamente","Plaire, aimer et courir vite",Imovision,  89.543 ,  5.000 ,16,20/12/18,  89.543 ,  5.000 
Berenice procura,Berenice procura,H2O Films,  88.534 ,  5.759 ,23,28/6/18,  88.534 ,  5.759 
A excêntrica familia de Gaspard,Gaspard va au mariage,Bonfilm,  86.945 ,  6.560 ,10,29/11/18,  86.945 ,  6.560 
Tungstênio,Tungstênio,Pagu Pictures,  86.893 ,  6.056 ,58,21/6/18,  86.893 ,  6.056 
A natureza do tempo,En attendant les hirondelles,Imovision,  86.655 ,  4.664 ,6,17/5/18,  86.655 ,  4.664 
A noiva do deserto,La novia del desierto,Imovision,  85.764 ,  5.409 ,10,12/4/18,  85.764 ,  5.409 
Paris 8,Mes provinciales,Cineart Filmes,  84.479 ,  5.350 ,28,17/5/18,  84.479 ,  5.350 
A aparição,L´apparition,Mares Filmes/A2 Filmes,  83.235 ,  6.166 ,11,9/8/18,  83.235 ,  6.166 
O ódio que você semeia,The hate u give,Fox,  82.117 ,  4.474 ,16,6/12/18,  82.117 ,  4.474 
O renascimento do parto 2,O renascimento do parto 2,Espaço Filmes,  79.846 ,  5.182 ,22,10/5/18,  79.846 ,  5.182 
O futuro adiante,El futuro que Vienev,Supo Mungam Films,  76.325 ,  4.732 ,14,4/10/18,  76.325 ,  4.732 
Tio Drew,Uncle Drew,Paris,  75.633 ,  4.187 ,30,19/7/18,  75.633 ,  4.187 
Um dia,Egy nap,Zeta Filmes,  75.613 ,  4.901 ,11,11/10/18,  75.613 ,  4.901 
A número um,Numéro une,Imovision,  74.749 ,  4.613 ,9,8/3/18,  74.749 ,  4.613 
Emma e as cores da vida,Il colore nascosto delle cose,Arteplex Filmes,  74.578 ,  4.254 ,14,27/12/18,  74.578 ,  4.254 
Como é cruel viver assim,Como é cruel viver assim,H2O Films,  72.915 ,  4.833 ,37,16/8/18,  72.915 ,  4.833 
Kin,Kin,Paris,  70.931 ,  3.639 ,29,6/9/18,  70.931 ,  3.639 
Cachorros,lOS PERROS,Imovision,  69.298 ,  4.129 ,5,5/7/18,  69.298 ,  4.129 
Sem fôlego,Wonderstruck,H2O Films,  69.237 ,  4.806 ,25,25/1/18,  69.237 ,  4.806 
O poder de Diane,Diane a les épaules,Bonfilm,  67.210 ,  5.073 ,4,18/10/18,  67.210 ,  5.073 
Meu malvado favorito 3,Despicable me 3,Universal,  66.589 ,  7.115 ,1.319,29/6/17,  126.073.571 ,  9.003.244 
A outra história do mundo,Otra historia del mundo,Fênix Filmes,  65.381 ,  4.004 ,12,2/8/18,  65.381 ,  4.004 
O dia depois,Geu-Hu,Pandora,  64.174 ,  4.310 ,6,12/4/18,  64.174 ,  4.310 
Carnívoras,Carnivores,Bonfilm,  64.150 ,  4.684 ,13,13/9/18,  64.150 ,  4.684 
Super-homem 40 anos,Superman 1978 40th Anniv Reissue,Warner,  62.711 ,  3.309 ,53,4/12/18,  62.711 ,  3.309 
Intimidade entre estranhos,Intimidade entre estranhos,Galeria Distribuidora,  62.487 ,  3.802 ,41,13/12/18,  62.487 ,  3.802 
Lua de Júpiter,Jupiter holdja,Imovision,  62.026 ,  3.645 ,14,31/5/18,  62.026 ,  3.645 
O desmonte do monte,O desmonte do monte,Mercurio,  61.226 ,  3.866 ,0,5/7/18,  61.226 ,  3.866 
Medo viral,Bedeviled,Fênix Filmes,  59.182 ,  4.164 ,8,16/8/18,  59.182 ,  4.164 
Alguma coisa assim,Alguma coisa assim,Vitrine,  59.120 ,  4.187 ,16,26/7/18,  59.120 ,  4.187 
Cora Coralina - Todas as vidas,Cora Coralina - Todas as vidas,Fênix Filmes,  58.981 ,  4.126 ,8,14/12/17,  101.982 ,  7.016 
Ponto cego,Blindspotting,Paris,  58.454 ,  3.645 ,27,4/10/18,  58.454 ,  3.645 
Acrimônia - Ela quer vingança,Acrimony,Paris,  58.303 ,  3.154 ,25,9/8/18,  58.303 ,  3.154 
Um homem comum,An ordinary man,Mares Filmes/A2 Filmes,  57.375 ,  4.652 ,20,29/11/18,  57.375 ,  4.652 
Quase memória,Quase memória,Pandora,  57.010 ,  3.954 ,16,19/4/18,  57.010 ,  3.954 
"Hare Krishna! - O mantra, o movimento e o Swami que começou tudo","Krishna! - The mantra, the movement and the Swami who started it all",Cinépolis,  55.781 ,  2.929 ,18,10/5/18,  55.781 ,  2.929 
Jogos mortais - Jigsaw,Jigsaw,Paris,  54.659 ,  5.112 ,515,30/11/17,  8.642.847 ,  636.628 
Dedo na ferida,Dedo na ferida,Caliban,  52.958 ,  3.596 ,3,31/5/18,  52.958 ,  3.596 
Vingança,Revenge,Fênix Filmes,  52.328 ,  3.707 ,12,7/6/18,  52.328 ,  3.707 
A prece,La prière,Imovision,  51.999 ,  3.190 ,3,8/11/18,  51.999 ,  3.190 
A rota selvagem,Lean on Pete,Diamond Films,  51.257 ,  2.999 ,18,15/11/18,  51.257 ,  2.999 
Torquato Neto - Todas as horas do fim,Torquato Neto - Todas as horas do fim,Vitrine,  51.043 ,  6.075 ,13,8/3/18,  51.043 ,  6.075 
Uma espécie de família,"Espécie de família, Una",Pandora,  48.464 ,  3.432 ,13,8/3/18,  48.464 ,  3.432 
Uma escala em Paris,Thirst street,Imovision,  47.737 ,  2.777 ,4,24/5/18,  47.737 ,  2.777 
A noite devorou o mundo,La nuit a dévoré le monde,California,  47.282 ,  3.268 ,7,5/7/18,  47.282 ,  3.268 
Além do homem,Além do homem,Imagem,  46.426 ,  2.826 ,24,28/6/18,  46.426 ,  2.826 
"My name is now, Elza Soares ","My name is now, Elza Soares ",It Filmes,  46.280 ,  3.037 ,10,1/11/18,  46.280 ,  3.037 
Traffik - Liberdade roubada,Traffik,Paris,  45.837 ,  2.402 ,25,20/9/18,  45.837 ,  2.402 
A cabeça de Gumercindo Saraiva,A cabeça de Gumercindo Saraiva,Elo Company,  45.135 ,  4.196 ,11,25/10/18,  45.135 ,  4.196 
A última abolição,A última abolição,Pipoca & Filmes ,  43.821 ,  2.918 ,7,18/10/18,  43.821 ,  2.918 
Verão 1993,Estiu 1993,Supo Mungam Films,  43.701 ,  3.499 ,14,7/12/17,  119.719 ,  8.564 
A voz do silêncio,A voz do silêncio,Imovision,  41.903 ,  2.696 ,18,22/11/18,  41.903 ,  2.696 
Hilda Hilst pede contato,Hilda Hilst pede contato,Imovision,  41.686 ,  2.438 ,14,2/8/18,  41.686 ,  2.438 
Daphne,Daphne,Supo Mungam Films,  40.665 ,  3.025 ,7,8/3/18,  40.665 ,  3.025 
Nico - 1988,Nico - 1988,Supo Mungam Films,  40.632 ,  2.770 ,14,30/8/18,  40.632 ,  2.770 
Bonifácio - O fundador do Brasil,Bonifácio - O fundador do Brasil,IvinFilms,  40.516 ,  2.330 ,0,7/6/18,  40.516 ,  2.330 
A Ópera de Paris,L'Opéra,Imovision,  39.310 ,  2.449 ,6,28/12/17,  53.243 ,  3.236 
Baronesa,Baronesa,Vitrine,  38.818 ,  4.709 ,13,14/6/18,  38.818 ,  4.709 
O colar de Coralina,O colar de Coralina,O2 Play,  38.765 ,  3.723 ,37,22/11/18,  38.765 ,  3.723 
A raposa má,Le grand méchant renard et autres contes,Bonfilm,  37.996 ,  2.766 ,0,31/10/18,  37.996 ,  2.766 
A garota na névoa,La ragazza nella nebbia,Mares Filmes/A2 Filmes,  37.780 ,  3.106 ,3,8/11/18,  37.780 ,  3.106 
"Onde está você, João Gilberto?","Where are you, João Gilberto?",Imovision,  37.388 ,  2.437 ,17,23/8/18,  37.388 ,  2.437 
Todas as razões para esquecer,Todas as razões para esquecer,Bretz Filmes/Pagu Pictures,  36.213 ,  2.155 ,18,1/3/18,  36.213 ,  2.155 
Onde a moeda cai em pé: a história do São Paulo Futebol Clube,Onde a moeda cai em pé: a história do São Paulo Futebol Clube,Elo Company,  35.922 ,  3.997 ,19,8/11/18,  35.922 ,  3.997 
Tinta bruta,Tinta bruta,Vitrine,  35.821 ,  4.547 ,28,6/12/18,  35.821 ,  4.547 
Stromboli,Stromboli ? Terra di dio,Zeta Filmes,  35.803 ,  2.406 ,6,29/3/18,  35.803 ,  2.406 
O motorista de táxi,Taeksi woonjunsa,California,  35.602 ,  2.548 ,3,11/1/18,  35.602 ,  2.548 
Mulheres divinas,Die göttliche ordnung,Mares Filmes,  35.525 ,  3.023 ,15,14/12/17,  112.017 ,  8.212 
O filho uruguaio,Une Vie Ailleurs,Bonfilm,  34.234 ,  2.487 ,2,1/3/18,  34.234 ,  2.487 
Encantados,Encantados,Riofilme,  33.266 ,  2.348 ,30,8/3/18,  33.266 ,  2.348 
Comboio de sal e açúcar,Comboio de sal e açúcar,Livres Filmes,  33.063 ,  2.218 ,14,7/6/18,  33.063 ,  2.218 
A repartição do tempo,A repartição do tempo,O2 Play,  32.724 ,  2.210 ,34,1/2/18,  32.724 ,  2.210 
Ayrton Senna - O musical,Ayrton Senna - O musical,Osmose Filmes,  31.605 ,  1.520 ,1,26/4/18,  31.605 ,  1.520 
Saudade,Saudade,Lira Filmes,  31.151 ,  1.994 ,6,18/1/18,  31.151 ,  1.994 
Lucky,Lucky,Imovision,  30.777 ,  2.317 ,9,7/12/17,  120.946 ,  8.174 
Virgens acorrentadas,Virgin cheerleaders in chains,Moro Filmes,  30.019 ,  2.669 ,11,9/8/18,  30.019 ,  2.669 
Dovlatov,Dovlatov,Imovision,  29.831 ,  1.877 ,4,14/6/18,  29.831 ,  1.877 
Colheita amarga,Bitter harvest,California,  29.659 ,  1.868 ,5,24/5/18,  29.659 ,  1.868 
Chateau - Paris,La vie de chateau,Europa,  29.543 ,  2.108 ,5,22/3/18,  29.543 ,  2.108 
Auto de resistência,Auto de resistência,Art House Movies,  29.521 ,  1.915 ,6,28/6/18,  29.521 ,  1.915 
Unicórnio,Unicórnio,Vitrine,  29.249 ,  3.396 ,16,16/8/18,  29.249 ,  3.396 
Jovem mulher,Jeune femme,Zeta Filmes,  29.148 ,  2.230 ,3,21/12/17,  38.624 ,  2.883 
O renascimento do parto 3,O renascimento do parto 3,Espaço Filmes,  29.098 ,  1.538 ,1,30/8/18,  29.098 ,  1.538 
Imagens do Estado Novo - 1937-45,Imagens do Estado Novo - 1937-45,Tatu Filmes,  28.468 ,  1.747 ,3,15/3/18,  28.468 ,  1.747 
Para sempre Chape,Para sempre Chape,Arcoplex,  28.108 ,  1.974 ,27,9/8/18,  28.108 ,  1.974 
A luta do século,A luta do século,Vitrine,  27.902 ,  2.149 ,20,15/3/18,  27.902 ,  2.149 
O último Suspiro,Dans la brume,Bonfilm,  27.871 ,  2.349 ,0,31/10/18,  27.871 ,  2.349 
Diamantino,Diamantino,Vitrine,  27.479 ,  1.646 ,13,20/12/18,  27.479 ,  1.646 
No intenso agora,No intenso agora,Videofilmes,  27.113 ,  1.833 ,11,9/11/17,  234.656 ,  15.921 
Henfil,Henfil,02 Play,  27.018 ,  1.864 ,18,6/12/18,  27.018 ,  1.864 
Finding Josef,Finding Josef,Distribuição Própria,  26.188 ,  2.266 ,1,20/9/18,  26.188 ,  2.266 
A busca do chef Ducasse,La quête d´Alain Ducasse,Bonfilm,  25.899 ,  2.279 ,0,31/10/18,  25.899 ,  2.279 
Os iniciados,The wound,Zeta Filmes,  25.635 ,  2.038 ,3,18/1/18,  25.635 ,  2.038 
Corra!,Get Out,Universal,  25.518 ,  2.634 ,444,18/5/17,  5.698.189 ,  385.513 
Asako I & II,Netemo sametemo,Zeta Filmes,  25.329 ,  1.495 ,8,20/12/18,  25.329 ,  1.495 
Utøya - 22 de julho,U - July 22,California,  24.765 ,  1.715 ,5,29/11/18,  24.765 ,  1.715 
Árvores vermelhas,"Red trees, ",Distribuição Própria,  24.723 ,  1.407 ,6,29/3/18,  24.723 ,  1.407 
Histórias que nosso cinema (não) contava,Histórias que nosso cinema (não) contava,Boulevard Filmes,  24.282 ,  1.845 ,3,23/8/18,  24.282 ,  1.845 
Querido embaixador,Querido embaixador,Elo Company,  23.906 ,  2.078 ,16,2/8/18,  23.906 ,  2.078 
Verão,Leto,Imovision,  23.449 ,  1.318 ,13,15/11/18,  23.449 ,  1.318 
Victoria e Abdul - O confidente da rainha,Victoria and Abdul,Universal,  23.355 ,  1.725 ,62,16/11/17,  2.203.529 ,  110.928 
Réquiem para Sra. J,"Rekvijem za gospodju J., ",Zeta Filmes,  23.195 ,  1.561 ,6,24/5/18,  23.195 ,  1.561 
Sueño Florianópolis,Sueño Florianópolis,Vitrine,  23.087 ,  2.833 ,18,15/11/18,  23.087 ,  2.833 
Por que vivemos,Naze ikiru - Rennyo shonin to yoshizaki enjo,Espaço Filmes,  22.586 ,  1.552 ,14,23/11/17,  117.482 ,  8.736 
Construindo pontes,Construindo pontes,Espaço Filmes,  22.542 ,  2.325 ,5,19/4/18,  22.542 ,  2.325 
Pela janela,Pela janela,Vitrine,  21.784 ,  3.078 ,11,18/1/18,  21.784 ,  3.078 
Lumière - A aventura começa,Lumière - L aventure commence,Imovision,  21.644 ,  1.705 ,9,14/12/17,  72.258 ,  5.245 
Western,Western,Zeta Filmes,  21.522 ,  1.295 ,6,15/3/18,  21.522 ,  1.295 
Ser tão velho cerrado,Ser tão velho cerrado,O2 Play,  21.513 ,  1.200 ,2,9/8/18,  21.513 ,  1.200 
Mare nostrum,Mare nostrum,Imovision,  21.305 ,  1.410 ,15,4/10/18,  21.305 ,  1.410 
Em um mundo interior,Em um mundo interior,Elo Company,  21.098 ,  2.073 ,5,31/5/18,  21.098 ,  2.073 
Antes que tudo desapareça,Sanpo suru shinryakusha,Zeta Filmes,  20.316 ,  1.235 ,6,12/4/18,  20.316 ,  1.235 
Minha amiga do parque,Mi amiga del parque,Descoloniza Filmes,  20.192 ,  1.304 ,4,22/2/18,  20.192 ,  1.304 
Takara - A noite em que nadei,Takara - La nuit où j'ai nagé,Zeta Filmes,  19.778 ,  1.335 ,2,30/8/18,  19.778 ,  1.335 
Canastra suja,Canastra suja,Art House Movies,  19.770 ,  1.467 ,21,21/6/18,  19.770 ,  1.467 
A filosofia na alcova,A filosofia na alcova,Satyros Cinema,  18.682 ,  1.395 ,1,23/11/17,  33.160 ,  2.350 
Filme paisagem - Um olhar sobre Roberto Burle Marx,Filme paisagem - Um olhar sobre Roberto Burle Marx,Elo Company,  17.948 ,  1.214 ,5,15/11/18,  17.948 ,  1.214 
A moça do calendário,A moça do calendário,Pandora,  17.633 ,  2.016 ,6,27/9/18,  17.633 ,  2.016 
Café,Caffè,California,  17.560 ,  1.060 ,3,2/8/18,  17.560 ,  1.060 
Soldados do Araguaia,Soldados do Araguaia,Giros Produtora,  17.437 ,  1.147 ,5,22/3/18,  17.437 ,  1.147 
Querida mamãe,Querida mamãe,Elo Company,  16.794 ,  1.546 ,8,17/5/18,  16.794 ,  1.546 
Híbridos - Os espíritos do Brasil,Híbridos - Os espíritos do Brasil,Descoloniza Filmes,  16.504 ,  1.020 ,3,15/3/18,  16.504 ,  1.020 
Piripkura,Piripkura,Distribuição Própria,  16.142 ,  871 ,0,22/2/18,  16.142 ,  871 
Missão 115,Missão 115,Bretz Filmes,  15.675 ,  1.070 ,7,23/8/18,  15.675 ,  1.070 
Amores de chumbo,Amores de chumbo,Elo Company,  15.641 ,  1.708 ,0,14/6/18,  15.641 ,  1.708 
Thor: Ragnarok,Thor: Ragnarok,Disney,  15.508 ,  1.141 ,1.565,26/10/17,  99.941.239 ,  6.373.125 
Excelentíssimos,Excelentíssimos,Vitrine,  15.484 ,  995 ,3,22/11/18,  15.484 ,  995 
A bela da tarde,Belle de jour,Zeta Filmes,  15.468 ,  1.461 ,5,7/12/17,  32.829 ,  2.676 
Todos os Paulos do mundo,Todos os Paulos do mundo,Vitrine,  15.464 ,  2.007 ,17,10/5/18,  15.464 ,  2.007 
A primeira noite de um homem,The graduate,Zeta Filmes,  14.794 ,  1.777 ,4,4/1/18,  14.794 ,  1.777 
Gabriel e a montanha,Gabriel e a montanha,Bretz Filmes,  14.701 ,  1.004 ,79,2/11/17,  663.839 ,  40.238 
De volta,Go home,Esfera,  14.680 ,  1.151 ,0,31/5/18,  14.680 ,  1.151 
Tesnota,Closeness,Zeta Filmes,  14.541 ,  2.192 ,1,9/8/18,  14.541 ,  2.192 
Tropykaos,Tropykaos,Pipa Produções,  14.315 ,  1.810 ,1,5/4/18,  14.315 ,  1.810 
A fábrica de nada,A fábrica de nada,Imovision,  14.259 ,  848 ,6,27/9/18,  14.259 ,  848 
A superfície da sombra,A superfície da sombra,Panda Filmes,  14.024 ,  932 ,13,31/5/18,  14.024 ,  932 
Chega de fiu fiu,Chega de fiu fiu,Taturana Mobilização Social,  12.923 ,  837 ,0,10/5/18,  12.923 ,  837 
Mazinger Z,Mazinger Z: infinity,Distribuição Própria,  12.689 ,  778 ,11,20/6/18,  12.689 ,  778 
Selfie para o inferno,Selfie from hell,Cineart Filmes,  12.608 ,  758 ,7,7/6/18,  12.608 ,  758 
Slam - Voz de levante,Slam - Voz de levante,Pagu Pictures,  12.565 ,  728 ,9,22/11/18,  12.565 ,  728 
Abrindo o armário,Abrindo o armário,Elo Company,  12.472 ,  1.349 ,14,16/8/18,  12.472 ,  1.349 
Rogério Duarte - O tropikaoslista,Rogério Duarte - O tropikaoslista,02 Play,  12.173 ,  993 ,7,26/4/18,  12.173 ,  993 
Olhos do deserto,Eye on Juliet,Esfera,  12.013 ,  865 ,7,24/5/18,  12.013 ,  865 
Tamara,Tamara,Lança Filmes,  11.641 ,  788 ,2,25/10/18,  11.641 ,  788 
Crimes em Happytime,The Happytime murders,Diamond Films,  11.638 ,  728 ,12,27/9/18,  11.638 ,  728 
O nó do diabo,O nó do diabo,Elo Company,  11.407 ,  1.414 ,2,28/6/18,  11.407 ,  1.414 
Isto (não) é um assalto,Isto (não) é um assalto,Distribuição Própria,  11.365 ,  1.197 ,2,22/11/18,  11.365 ,  1.197 
Po,A boy called Po,Cineart Filmes,  11.132 ,  876 ,6,22/11/18,  11.132 ,  876 
Caminho do mar,Caminho do mar,Bang Filmes,  10.976 ,  1.532 ,1,7/6/18,  10.976 ,  1.532 
Djon África,Djon África,Vitrine,  10.704 ,  1.507 ,14,11/10/18,  10.704 ,  1.507 
Vinte anos,Vinte anos,Art House Movies,  10.465 ,  659 ,5,26/7/18,  10.465 ,  659 
A vida extra-ordinária de Tarso de Castro,A vida extra-ordinária de Tarso de Castro,Boulevard Filmes,  10.354 ,  898 ,5,24/5/18,  10.354 ,  898 
Em 97 era assim,Em 97 era assim,Bretz Filmes,  10.080 ,  756 ,13,14/6/18,  10.080 ,  756 
Todo clichê do amor,Todo clichê do amor,Enkapothado Filmes / MUK,  10.066 ,  582 ,8,19/4/18,  10.066 ,  582 
A imagem da tolerância,A imagem da tolerância,Cinespaço,  9.789 ,  660 ,7,8/3/18,  9.789 ,  660 
Vazante,Vazante,Europa,  9.584 ,  690 ,24,9/11/17,  144.563 ,  9.774 
On yoga - Arquitetura da paz,On yoga: The architecture of peace,Pagu Pictures / Bretz Filmes,  9.463 ,  589 ,13,16/11/17,  236.575 ,  13.434 
A destruição de Bernardet,A destruição de Bernardet,Espaço Filmes,  8.927 ,  989 ,6,30/8/18,  8.927 ,  989 
O homem que parou o tempo,O homem que parou o tempo,Elo Company,  8.611 ,  1.092 ,18,13/9/18,  8.611 ,  1.092 
A mata negra,A mata negra,Distribuição Própria,  8.587 ,  873 ,15,6/12/18,  8.587 ,  873 
Em busca de Fellini,In Search of Fellini,Cineart Filmes,  8.245 ,  710 ,26,7/12/17,  85.074 ,  5.708 
Pagliacci,Pagliacci,Pandora,  8.037 ,  724 ,2,26/4/18,  8.037 ,  724 
Cromossomo 21,Cromossomo 21,Espaço Filmes,  7.850 ,  746 ,12,30/11/17,  58.628 ,  4.425 
Ataque dos titãs,Attack on titans,SATO Company,  7.789 ,  458 ,14,8/4/18,  7.789 ,  458 
Bye bye Jaqueline,Bye bye Jaqueline,Lança Filmes,  7.744 ,  660 ,7,28/12/17,  8.709 ,  722 
2 outonos e 3 Invernos,2 automnes 3 hivers,Fênix Filmes,  7.521 ,  671 ,3,6/12/18,  7.521 ,  671 
