TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
"Bardo, falsa crônica de algumas verdades",Bardo,O2 Play,11/17/2022,México,Comédia,16,38,106.087,4.957
"Destino de Haffmann, O",Adieu monsieur Haffmann,Synapse,8/11/2022,França,Suspense,14,19,101.044,4.877
Paradise – Uma nova vida,Paradise - Una nuova vita,Arteplex Filmes,7/21/2022,Itália / Eslovênia,Comédia,14,15,100.419,5.775
"Nossos filhos, Aos","Nossos filhos, Aos",Imovision,7/28/2022,Brasil,Drama,16,22,99.813,5.349
"Noite do triunfo, A",Un triomphe,Imovision,4/21/2022,França,Comédia - Dramática,14,18,99.029,5.337
"Amor, sublime amor",West side story,Disney,12/9/2021,EUA,Musical,14,0,96.819,4.741
Muco - Contradição na tradição,Muco - Contradição na tradição,Guruji Filmes,12/8/2022,Brasil / Índia,Documentário,12,10,93.990,4.641
Belle,Belle - The dragon and the freckled princess,Paris,1/27/2022,Japão,Animação,12,148,90.508,4.836
Ruído branco,White noise,O2 Play,12/8/2022,EUA / Reino Unido,Comédia,14,36,89.159,4.081
"Criança do diabo, A",Diavlo - The devil´s child,Cinecolor,4/28/2022,Colômbia,Terror,16,56,88.245,4.629
"Debate, O","Debate, O",DT/Paris,8/25/2022,Brasil,Drama,12,122,87.775,4.441
"Summer of soul (... ou, quando a revolução não pode ser televisionada)","Summer of soul (... or, when the revolution could not be televised)",Disney,1/27/2022,EUA,Documentário,12,6,86.658,6.100
"Acontecimento, O",L'événement,Zeta Filmes,7/7/2022,França,Drama,16,29,85.290,5.082
Carvão,Carvão,Pandora Filmes,11/3/2022,Brasil,Drama,18,22,84.103,4.577
"Luta de uma vida, A",The survivor,Diamond/Galeria,9/8/2022,Canadá,Biografia,18,73,83.443,3.700
Esperando Bojangles,En attendant Bojangles,California,11/3/2022,Bélgica / França,Drama,16,28,82.714,3.540
"Farsa, A",Mascarade,Diamond/Galeria,12/22/2022,França,Comédia,16,20,82.670,3.619
Madre Teresa - Amor maior não há,Mother Teresa - No greater love,Kolbe Arte Produções,11/21/2022,EUA,Documentário,12,96,82.396,5.456
Memoria,Memoria,O2 Play,7/21/2022,Colômbia / Tailândia / França / Alemanha,Drama,12,17,82.113,4.973
Flee - Nenhum lugar para chamar de lar,Flee,Diamond/Galeria,4/21/2022,Dinamarca,Animação,14,38,79.524,4.825
"Ennio, o maestro",Ennio,Bonfilm,9/29/2022,Itália,Documentário,14,19,79.009,4.457
