TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Spirit - O indomável,Spirit untamed,Universal,6/10/2021,EUA,Animação,Livre,0,1.584,234
Dois irmãos - Uma jornada fantástica,Onward,Disney,3/5/2020,EUA,Animação,10,0,1.514,90
Pets - A vida secreta dos bichos 2,The secret life of pets 2,Universal,6/27/2019,EUA,Animação,Livre,0,1.500,221
"Demônio das onze horas, O",,Filmes do Estação,6/28/2002,França,,,0,1.474,189
Amarcord,Amarcord,Mais Filmes,1/10/2003,Itália,,,0,1.395,142
"Mulher sob influência, Uma",A Woman Under the Influence,Filmes do Estação,2/16/2007,EUA,Drama,12,0,1.355,610
Alice Guy-Blaché - A história não contada da primeira cineasta do mundo,Be natural - The untold story of Alice Guy-Blaché,Arteplex Filmes,10/29/2020,EUA,Documentário,10,0,1.336,192
Que mal eu fiz a Deus? 2,Qu'est-ce qu'on a encore fait au bon Dieu?,A2 Filmes,12/2/2021,França,Comédia,12,0,1.321,105
Vaga carne,Vaga Carne,Embaúba Filmes,3/19/2020,Brasil,Drama,16,0,1.250,122
Doutor Estranho,Doctor Strange,Disney,11/3/2016,EUA,Ação,12,0,1.249,151
Não olhe para cima,Don't look up,O2 Play,12/9/2021,EUA,Comédia,16,0,1.243,99
Charuto de mel,Honey Cigar,Imovision,11/11/2021,França,Drama,16,0,1.234,133
Madre,Madre,Imovision,11/25/2021,Espanha / França,Drama,14,0,1.232,183
Liberté,Liberté,Zeta Filmes,3/12/2020,França / Portugal,Drama,18,0,1.200,178
Enquanto houver amor,Hope gap,California,11/18/2021,Reino Unido,Drama,12,0,1.193,79
"Massacre da serra elétrica, O",The Texas Chainsaw Massacre,Europa/ MAM,2/25/2005,EUA,Horror,18,0,1.104,169
Cavalo de Santo,Cavalo de Santo,Distribuição Própria,4/16/2021,Brasil,Documentário,,0,1.073,250
Sapatinho vermelho e os sete anões,Red shoes & the 7 dwarfs,Paris,12/31/2020,EUA / Coréia do Sul,Animação,Livre,0,1.061,111
"Orfãos, Os",The turning,Universal,1/30/2020,EUA,Suspense,14,0,1.051,69
"Christine, o carro assassino (1983)",Christine,Distribuição Própria,7/16/2020,EUA,Fantasia,,0,1.049,167
No coração do mundo,No coração do mundo,Embaúba Filmes,8/1/2019,Brasil,Drama,16,0,1.032,66
Tito e os pássaros,Tito e os pássaros,Elo Studios,2/14/2019,Brasil,Animação,Livre,0,1.001,64
Exorcismos e demônios,The crucifixion,Imagem/California,4/19/2018,EUA,Terror,14,0,936,69
Sete anos em maio,Sete anos em maio,Embaúba Filmes,3/19/2020,Brasil,Documentário,14,0,925,111
Adeus à linguagem,Adieu Au Langage,Imovision,7/30/2015,França,Drama,16,0,897,116
Fale com as abelhas,Tell it to the bees,Arteplex Filmes,1/21/2021,Inglaterra / Suécia,Drama,16,0,873,62
Ema,Ema,Imovision,8/12/2021,Chile,Drama,16,0,871,66
Capitã Marvel,Captain Marvel,Disney,3/7/2019,EUA,Ação,,0,822,113
Cora,Cora,Pandora Filmes,12/23/2021,Brasil,Drama,12,0,801,44
"Auto da compadecida, O (2000)","Auto da compadecida, O",Globo Filmes,6/26/2020,Brasil,Comédia,12,0,770,59
Amores expressos,Chung Hing sam lam,Distribuição Própria,12/9/2021,Hong Kong,Drama,14,0,770,78
Venom - Tempo de carnificina,Venom - Let there be carnage,Sony,10/7/2021,EUA,Ação,14,0,750,89
"Mulher fantástica, Uma",Una mujer fantástica,Imovision,9/7/2017,Chile,Drama,14,0,740,81
Encontros (2019),Deux moi,Imovision,10/3/2019,França,Drama,12,0,722,71
"Divã na Tunísia, Um",Arab blues,Imovision,3/11/2021,França / Tunísia,Comédia,12,0,665,72
"Doce vida, A",La dolce vita,Zeta Filmes/FJ Cines,8/20/2015,Itália,Drama,,0,640,82
"Noite americana, A",La nuit américaine,Mais Filmes,5/23/2003,França,,,0,637,65
Bacurau,Bacurau,Vitrine Filmes,8/29/2019,Brasil,Drama,16,0,634,55
Solaris,Solaris,Fox,3/28/2003,EUA,,,0,623,55
Desvio,Desvio,Vitrine Filmes,4/29/2021,Brasil,Drama,16,0,615,93
Morto não fala,Morto não fala,Pagu Pictures,10/10/2019,Brasil,Suspense,16,0,608,54
Jumanji - Próxima fase,Jumanji - The next level,Sony,1/16/2020,EUA,Aventura,12,0,608,81
Cicatrizes,Savovi,Arteplex Filmes,2/13/2020,Sérvia,Drama,12,0,605,51
Bagdá vive em mim,Baghdad in my shadow,Arteplex Filmes,9/2/2021,Suíça / Alemanha / Inglaterra,Drama,16,0,602,63
"Aventuras de Molière, um irreverente e adorável sedutor, As",Molière,Imagem,7/18/2008,França,Comédia,12,0,593,62
Oito e Meio (1963),Federico Fellini's 8 1/2,FJ Cines,8/6/2020,França / Itália,Drama,,0,592,74
"Espelho, O",Oculus,Playarte,7/3/2014,EUA,Terror,,0,567,57
Doutor Gama,Doutor Gama,Elo Studios,8/5/2021,Brasil,Drama,14,0,566,61
Corrente do mal,Corrente do mal,California,8/27/2015,EUA,Horror,,0,562,48
Jurassic World - Reino ameaçado,Jurassic World - Fallen kingdom,Universal,6/21/2018,EUA,Aventura,12,0,533,90
"Homem que vendeu sua pele, O",The man who sold his skin,Pandora Filmes,10/7/2021,Tunísia / França / Bélgica,Drama,14,0,530,40
Madalena,Madalena,Vitrine Filmes,12/9/2021,Brasil,Suspense,12,0,528,66
Sibyl,Sibyl,Imovision,7/15/2021,França,Drama,16,0,523,54
Meu fim. Seu começo.,Relativity,Arteplex Filmes,9/30/2021,Alemanha,Drama,12,0,523,33
Turma da Mônica - Laços,Turma da Mônica - Laços,DT/Paris,6/27/2019,Brasil,Aventura,,0,502,91
Aquarius,Aquarius,Vitrine Filmes,9/1/2016,Brasil,Drama,16,0,495,74
Alice e Peter - Onde nascem os sonhos,Come away,Imagem,6/3/2021,EUA / Reino Unido,Drama,12,0,489,50
Rainha de copas,Dronningen,Arteplex Filmes,9/12/2019,Dinamarca,Drama,18,0,481,34
Três faces,Se rokh,Imovision,4/4/2019,Irã,Drama,,0,479,28
"Confeiteiro, O",The cakemaker,Imovision,12/27/2018,Alemanha,Drama,14,0,474,32
Cisne negro,Black Swan,Fox,2/4/2011,EUA,Suspense,16,0,468,32
Aznavour por Charles,Le regard de Charles,Imovision,2/11/2021,França,Documentário,10,0,458,49
Pixinguinha - Um homem carinhoso,Pixinguinha - Um homem carinhoso,DT/Paris,11/11/2021,Brasil,Drama,14,0,453,31
Em pedaços,Aus dem nichts,Imovision,3/15/2018,Alemanha/ França,Drama,16,0,453,27
Aos olhos de Ernesto,Aos olhos de Ernesto,Elo Studios,9/17/2020,Brasil,Drama,,0,452,23
Resident Evil - Bem-vindo a Raccoon City,Resident Evil - Welcome to Raccoon City,Sony,12/2/2021,EUA,Ação,16,0,440,37
Macunaíma,Macunaíma,Filmes do Serro / Videofilmes,11/2/2006,Brasil,Comédia,12,0,430,26
Aleluia - O canto infinito do Tincoã,Aleluia - O canto infinito do Tincoã,Descoloniza Filmes,11/18/2021,Brasil,Documentário,Livre,0,420,168
Fim de festa,Fim de festa,Imovision,3/5/2020,Brasil,Drama,16,0,419,43
Cabeça de nêgo,Cabeça de nêgo,Corte Seco Filmes,10/21/2021,Brasil,Drama,14,0,416,102
"Casa das coelhinhas, A",The House Bunny,Sony,10/10/2008,EUA,Comédia,12,0,406,42
"Viúva das sombras, A",The widow,Paris,3/4/2021,Rússia,Terror,14,0,400,40
Doce entardecer na Toscana,Dolce fine Giornatta,Arteplex Filmes,3/12/2020,Polônia,Drama,16,0,390,29
"Beijo no asfalto, O","Beijo no asfalto, O",Art House Movies,12/6/2018,Brasil,Drama,14,0,386,33
Adam,Adam,Arteplex Filmes,11/14/2019,França / Marrocos,Drama,12,0,381,26
Afterimage,Powidoki,Imovision,8/17/2017,Polônia,Biografia,,0,357,25
"Menino e o mundo, O","Menino e o mundo, O",Elo Studios,1/17/2014,Brasil,Animação,Livre,0,350,43
"Noite do fogo, A",Noche de fuego,Vitrine Filmes,11/18/2021,México / Brasil,Drama,14,0,343,17
UglyDolls,UglyDolls,Diamond Films,5/16/2019,EUA,Animação,Livre,0,340,59
Shazam!,Shazam!,Warner,4/4/2019,EUA,Ação,12,0,331,40
"Suspeitos, Os",Prisoners,Paris,10/18/2013,EUA,Policial,,0,323,19
Nunca mais nevará,Never gonna snow again,Imovision,8/19/2021,Polônia,Comédia,16,0,322,33
DNA,ADN,Vitrine Filmes,9/30/2021,França / Argélia,Drama,14,0,321,17
Libelu - Abaixo a ditadura,Libelu - Abaixo a ditadura,Boulevard Filmes,5/13/2021,Brasil,Documentário,14,0,318,36
Lá vamos nós,Hine Anachnu,Imovision,11/4/2021,Israel / Itália,Drama,12,0,310,45
Tom & Jerry - O filme,Tom & Jerry,Warner,2/18/2021,EUA,Animação,Livre,0,298,36
Hiroshima meu amor,Hiroshima mon amour,Zeta Filmes,3/9/2017,Japão/França,Drama,,0,284,164
Cabra marcado para morrer,Cabra marcado para morrer,H2O Films,9/14/2012,Brasil,Documentário,12,0,281,121
"Mulher da luz própria, A","Mulher da luz própria, A",Mercúrio Produções,4/8/2021,Brasil,Documentário,12,0,278,28
Garota sombria caminha pela noite,A Girl Walks Home Alone at Night,Imovision,12/17/2015,EUA,Horror,,0,272,29
Varda por Agnès,Varda by Agnès,Imovision,5/9/2019,França,Documentário,,0,261,18
Divinas Divas,Divinas Divas,Vitrine Filmes,6/22/2017,Brasil,Documentário,,0,260,37
Spirit - O corcel indomável,,UIP,7/5/2002,EUA,Aventura,,0,257,22
Machuca,Machuca,Mais Filmes,1/14/2005,Chile,Drama,12,0,254,26
Nunca aos domingos,Pote tin Kyriaki/ Never on Sundays,Mais Filmes,5/16/2003,Grécia,Drama,14,0,254,26
Edifício Master,Edifício Master,Riofilme,11/22/2002,Brasil,,,0,253,49
"Cavalo de Turim, O",A torinói ló,Bretz Filmes,1/7/2016,Hungria,Drama,,0,250,147
Alvorada,Alvorada,Vitrine Filmes,5/27/2021,Brasil,Documentário,Livre,0,250,19
Que horas ela volta?,Que horas ela volta?,Pandora Filmes,8/27/2015,Brasil,Drama,,0,242,77
Estou me guardando para quando o carnaval chegar,Estou me guardando para quando o carnaval chegar,Vitrine Filmes,7/11/2019,Brasil,Documentário,10,0,235,32
Chateau - Paris,La vie de chateau,Europa,3/22/2018,França,Comédia,14,0,234,20
Timbuktu,Timbuktu,Imovision,1/22/2015,Mauritânia/ França,Drama,,0,234,20
Garoto Cósmico,Garoto Cósmico,Downtown,1/11/2008,Brasil,Animação,Livre,0,233,13
Nomadland,Nomadland,Disney,4/29/2021,EUA,Drama,12,0,231,136
"Animal amarelo, Um","Animal amarelo, Um",Olhar Distribuição,8/26/2021,Brasil / Portugal,Drama,16,0,230,46
"Nosso planeta, nosso legado",Legacy,Bonfilm,11/25/2021,França,Documentário,Livre,0,225,16
Paterson,Paterson,Fênix Filmes,4/20/2017,EUA,Drama,,0,222,20
"Juventude, A",La Giovinezza,Fênix Filmes,3/31/2016,Itália/ França,Comédia,,0,211,18
Divertida mente,The Inside Out,Disney,6/18/2015,EUA,Animação,Livre,0,202,26
Retablo,Retablo,Arteplex Filmes,11/7/2019,Peru / Alemanha / Noruega,Drama,16,0,195,20
M8 - Quando a morte socorre a vida,M8 - Quando a morte socorre a vida,DT/Paris,12/3/2020,Brasil,Suspense,14,0,186,32
De perto ela não é normal,De perto ela não é normal,H2O Films,10/29/2020,Brasil,Comédia,12,0,172,8
Babenco - Alguém tem que ouvir o coração e dizer: parou,Babenco - Alguém tem que ouvir o coração e dizer: parou,Imovision,11/26/2020,Brasil,Documentário,14,0,169,90
Bixa Travesty,Bixa Travesty,Arteplex Filmes,11/21/2019,Brasil,Documentário,18,0,165,25
"Nó do diabo, O","Nó do diabo, O",Elo Studios,6/14/2018,Brasil,Terror,16,0,165,7
Pássaros de verão,Birds of passage,Arteplex Filmes,8/22/2019,Colômbia/ Dinamarca/ México/ Alemanha/ Suíça/ França,Drama,,0,156,16
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11º Olhar de Cinema - Festival Int. de CTBA,11º Olhar de Cinema - Festival Int. de CTBA,Cinemark,6/2/2022,,Diversos,,3,7.580,807
1º BKF Knuckle Fighting Brasil 2022,1º BKF Knuckle Fighting Brasil 2022,Distribuição Própria,11/6/2022,Brasil,Esporte,16,1,522,20
30º Festival Mix Brasil 2022,30º Festival Mix Brasil 2022,Distribuição Própria,11/10/2022,Diversos,Diversos,,2,16.793,818
45ª Mostra Internacional de Cinema SP 2021,45ª Mostra Internacional de Cinema SP 2021,Distribuição Própria,10/21/2021,Brasil,Diversos,,0,1.384,75
46ª Mostra Internacional de Cinema SP 2022,46ª Mostra Internacional de Cinema SP 2022,Distribuição Própria,10/20/2022,Brasil,Diversos,,15,260.311,21.222
A-ha - True North,A-ha - True North,Trafalgar,9/15/2022,Noruega,Show,14,41,33.841,1.443
André Rieu - Maastricht 2022,André Rieu - Maastricht 2022,Cinemark,12/1/2022,Holanda,Musical,12,25,10.161,387
Astro - Stargazer: Astroscope,Astro - Stargazer: Astroscope,Trafalgar,10/27/2022,Coréia do Sul,Show,,39,37.435,1.651
BTS - Permission to dance on stage - Seoul,BTS - Permission to dance on stage,Trafalgar,3/12/2022,Coréia do Sul,Show,12,218,3.133.435,74.794
Coldplay - Live broadcast from Buenos Aires,Coldplay - Live broadcast from Buenos Aires,Distribuição Própria,10/27/2022,Reino Unido,Show,,229,1.337.213,32.155
Copa do Mundo 2022,Copa do Mundo 2022,Distribuição Própria,11/20/2022,Brasil,Jogos,Livre,0,2.964,334
Critical Role - The Mighty Nein Reunidos Parte 1,Critical Role - The Mighty Nein Reunidos Parte 1,Cinemark,11/18/2022,EUA,Aventura,14,8,11.835,377
"Critical Role 7-Year Anniversary, Campaign 3, Ep17","Critical Role 7-Year Anniversary, Campaign 3, Ep17",Cinemark,3/18/2022,EUA,Aventura,,6,23.050,671
Critical Role: The Mighty Nein Reunidos Parte 2,Critical Role: The Mighty Nein Reunidos Parte 2,Cinemark,12/2/2022,EUA,Aventura,14,6,7.575,251
Encontro de Cinema Negro Zozimo Bulbul,Encontro de Cinema Negro Zozimo Bulbul,Distribuição Própria,8/30/2017,Brasil,Diversos,14,0,117,268
Festivais e Mostras 2019,Festivais e Mostras 2019,Festivais,1/3/2019,Brasil,Diversos,,0,0,589
Festivais e Mostras 2020,Festivais e Mostras 2020,Festivais,1/2/2020,Brasil,Diversos,,0,0,276
Festivais e Mostras 2021,Festivais e Mostras 2021,Festivais,3/4/2021,Brasil,Diversos,,0,948,81
Festivais e Mostras 2022,Festivais e Mostras 2022,Festivais,2/10/2022,Brasil,Diversos,,1,202.735,21.950
Festival do Rio 2019,Festival do Rio 2019,Festivais,12/9/2019,Brasil,Diversos,,0,478,45
Festival do Rio 2021,Festival do Rio 2021,Festivais,12/9/2021,Brasil,Diversos,,0,8.665,817
Festival do Rio 2022,Festival do Rio 2022,Festivais,10/6/2022,Brasil,Diversos,,26,322.392,34.610
Festival Fantaspoa 2022,Festival Fantaspoa 2022,Festivais,4/15/2022,Brasil,Diversos,,2,12.809,1.115
Festival Italiano 2022,Festival Italiano 2022,Festivais,7/28/2022,Itália,Diversos,,8,143.807,11.719
Festival Mulheres no Cinema 2022,Festival Mulheres no Cinema 2022,Distribuição Própria,11/10/2022,Itália / Eslovênia,Diversos,16,3,895,73
Festival Varilux 2021,Festival Varilux 2021,Festival Varilux,11/24/2021,França,Diversos,,0,4.754,387
Festival Varilux 2022,Festival Varilux 2022,Festival Varilux,6/21/2022,França,Diversos,,5,868.256,52.539
FICI 2022 - Fest. Int. Cin. Inf.,FICI 2022 - Fest. Int. Cin. Inf.,FICI - Fest. Int. Cin. Inf.,11/12/2022,Brasil,Infantil,Livre,3,658,67
Final da Liga Brasileira de Free Fire 7 (2022),Final da Liga Brasileira de Free Fire 7 (2022),Distribuição Própria,4/16/2022,Brasil,Evento Esportivo,Livre,20,25.473,1.265
Final UEFA 2022,Final UEFA 2022,Distribuição Própria,5/28/2022,Brasil,Evento Esportivo,Livre,65,313.853,7.313
George Michael freedom uncut,George Michael freedom uncut,Trafalgar,6/16/2022,EUA,Documentário,14,26,12.075,567
League of Legends 2022,League of Legends 2022,Distribuição Própria,11/5/2022,Brasil,Jogos,Livre,15,35.455,1.615
NCT Dream the movie - In a dream,NCT Dream the movie - In a dream,Trafalgar,11/30/2022,Coréia do Sul,Show,12,59,109.887,5.215
Seventeen power of love - The movie,Seventeen power of love - The movie,Trafalgar,4/14/2022,Coréia do Sul,Documentário,,66,135.249,6.959
Seventeen world tour - Be the sun,Seventeen world tour - Be the sun,Distribuição Própria,8/21/2022,Coréia do Sul,Show,,35,51.693,1.987
Super Bowl 2022,Super Bowl 2022,Distribuição Própria,2/13/2022,EUA,Esporte,Livre,1,907,31
Super show 8 - Tempo infinito,Super show 8 - Infinite time,Cinecolor,2/24/2022,Coréia do Sul,Show,Livre,65,32.553,1.359
Supercombo - Ao vivo: Quando a terra era redonda,Supercombo - Ao vivo: Quando a terra era redonda,Super Combo,2/17/2022,Brasil,Show/ Musical,10,15,11.546,501
Twenty One Pilots cinema experience,Twenty One Pilots cinema experience,Trafalgar,5/19/2022,EUA,Show,12,67,171.241,7.693
XVIII Panorama Internacional Coisa de Cinema 2022,XVIII Panorama Internacional Coisa de Cinema 2022,Distribuição Própria,11/3/2022,Brasil,Diversos,,9,17.587,1.936
Mostra de Cinema Japonês 2022,Mostra de Cinema Japonês 2022,Independente,9/29/2022,Japão,,,1,9.306,558
,,,,,,,,7.377.434,296.540
